變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Mean,-0.03542290742710865,0.30982612654421526,,2,0.006744439276581526,0.9920574237382273
Skewness + Median,-0.033200366181081006,0.3400390228147201,,2,0.006527860345968528,0.9922737414156066
Skewness + Mean + T-4 Return,-0.03253556374570484,0.350805733227295,,3,0.010498095894663328,0.9883082950533401
Skewness + Median + T-4 Return,-0.030276375433397278,0.3841763803008993,,3,0.010268705294415037,0.9885374089459883
Skewness + T-4 Return,-0.024568652052765975,0.4799088738951266,,2,0.004300216005709623,0.9944986986094964
