變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + T-4 Return,0.04649964935428665,0.18025879552589935,,2,0.005844547535002631,0.9929576748114253
Skewness + Median + T-4 Return,0.04211001814095396,0.22478201519356927,,3,0.0111649104319127,0.9876437219902942
Skewness + Median,0.041651063388912966,0.2305047838040896,,2,0.007214230566031543,0.9915896420009157
Skewness + Mean + T-4 Return,0.03402899698671738,0.33153535205096585,,3,0.011963409320829399,0.9868461851482317
Skewness + Mean,0.033743276206804805,0.33628448315916815,,2,0.007975215021575277,0.9908295743941133
