變數組合,Kurtosis_係數,Kurtosis_p值,Kurtosis_顯著性,變數數量,R平方,MSE
Kurtosis + T-4 Return,0.03640631892559614,0.29540374005845055,,2,0.0050663850280456835,0.9937290948569761
Kurtosis + Mean,0.035287633305167834,0.3101922098088789,,2,0.006745917710250016,0.9920515955073171
Kurtosis + Mean + T-4 Return,0.0345078823853491,0.32037110785171263,,3,0.010677996789673627,0.9881242768141882
Kurtosis + Median,0.0338663470431514,0.3304581245445972,,2,0.006563863691229965,0.9922334291219554
Kurtosis + Median + T-4 Return,0.03306087558544261,0.341465044454069,,3,0.010473447883196707,0.9883285780827634
