變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + T-4 Return,0.016099171723084504,0.6434491629528909,,2,0.003984517594344261,0.9948111106010541
Skewness + Median + T-4 Return,0.010141135729660713,0.7708268786271051,,3,0.009525008700935977,0.9892773190000326
Skewness + Median,0.00998894873688597,0.7744748628601569,,2,0.005573603006557404,0.9932239466947805
Skewness + Mean + T-4 Return,0.007643138173977278,0.8266022632209837,,3,0.010190248801332125,0.9886128833012088
Skewness + Mean,0.0075447230589935025,0.8290358275870898,,2,0.006206650076604148,0.992591665098821
