變數組合,Kurtosis_係數,Kurtosis_p值,Kurtosis_顯著性,變數數量,R平方,MSE
Kurtosis + T-4 Return,0.0501061625521573,0.14946738001779836,,2,0.006235756189423736,0.9925625941808174
Kurtosis + Mean + T-4 Return,0.046468221549252786,0.1806721520715695,,3,0.012286900801502965,0.9865187665513405
Kurtosis + Mean,0.04596356123029951,0.18606136578957047,,2,0.008258371607142156,0.9905424244891181
Kurtosis + Median + T-4 Return,0.04548899238791608,0.19061795394605066,,3,0.011483527071067923,0.987321168850421
Kurtosis + Median,0.04500550783650463,0.19598465624224023,,2,0.007491710381625993,0.9913081586756675
