變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Mean,-0.03676955048691077,0.29269328424837554,,2,0.0068393024022717075,0.9919583238718231
Skewness + Median,-0.034519640457344763,0.32208825322908313,,2,0.006604139190785507,0.9921932023820849
Skewness + Mean + T-4 Return,-0.033846854172510404,0.33263592940637354,,3,0.010619199048765626,0.9881830033713902
Skewness + Median + T-4 Return,-0.03156151637530135,0.36520467827712144,,3,0.010371048572152541,0.9884308534236977
Skewness + T-4 Return,-0.02581444573594051,0.4587320976786655,,2,0.004405890104557053,0.9943887901498069
