變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Kurtosis + T-4 Return,0.027050796942719325,0.44198143710992166,,3,0.007982323125783064,0.9908166869506401
Skewness + Kurtosis,0.02665814136922015,0.44922297406317235,,2,0.004149166426466122,0.994645203024413
Skewness + Kurtosis + Median + T-4 Return,0.020301458329378647,0.5649578376239566,,4,0.012828645748695466,0.9859762315463994
Skewness + Mean + Kurtosis + T-4 Return,0.017931898989950422,0.6120119937463021,,4,0.013593630407085278,0.9852121730195575
Skewness + Mean + Kurtosis,0.017722262261592663,0.6166862715547177,,3,0.009526818335900411,0.9892740615894453
Skewness + T-4 Return,0.017156145134547735,0.6220292372465273,,2,0.004019528090950408,0.9947746844127915
Skewness + Median + T-4 Return,0.010866647338130201,0.7551771343682743,,3,0.00952143264411065,0.9892794407610274
Skewness + Median,0.010722093725804942,0.7586543549623885,,2,0.00557032757012399,0.9932257624148273
Skewness + Mean + T-4 Return,0.00834706162069436,0.8111339637650535,,3,0.010182740762032738,0.98861893325826
Skewness + Mean,0.008257126621461018,0.8133873720570295,,2,0.006199507433150342,0.9925973442707638
