變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Mean,-0.03683783430788311,0.29207603370036295,,2,0.006826807566284954,0.9919693461398555
Skewness + Median,-0.034588544019818486,0.32140626375665887,,2,0.00659055457809643,0.9922053127607862
Skewness + Mean + T-4 Return,-0.0339142654080055,0.33195362952222096,,3,0.010605841939731575,0.988194892414135
Skewness + Median + T-4 Return,-0.031629486349998494,0.36445445526593057,,3,0.010356616957377107,0.9884438153056015
Skewness + T-4 Return,-0.025924794921130537,0.45708732591085866,,2,0.004411446457338375,0.9943817795383678
