變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Mean,-0.03685358662145684,0.2913413040398011,,2,0.006804909138059756,0.9919941294461457
Skewness + Median,-0.03461227404790983,0.3205334451721458,,2,0.006569112053527504,0.9922296414072387
Skewness + Mean + T-4 Return,-0.03391955260040943,0.3313479644723075,,3,0.010593589411238336,0.9882100304066713
Skewness + Median + T-4 Return,-0.03164193141936412,0.3637291007262743,,3,0.01034486178940941,0.9884584572695863
Skewness + T-4 Return,-0.02585694113606131,0.45772273860882673,,2,0.004413128176287917,0.9943830182906725
