變數組合,Kurtosis_係數,Kurtosis_p值,Kurtosis_顯著性,變數數量,R平方,MSE
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.23680432168255064,0.024601978718610088,**,8,0.10968703808385483,0.8828313403874383
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.22239642299680668,0.024772382810859958,**,7,0.10825957480719062,0.8842468081743826
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.23160638083857535,0.02736133052010089,**,8,0.10923330715467561,0.8832812584516663
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.21757831605286823,0.027543585233625902,**,7,0.10786361922659948,0.8846394363971534
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-3 Return + T-4 Return,-0.21019031704169974,0.03209737597035324,**,6,0.1008860273696558,0.8915583930284084
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-3 Return + T-4 Return,-0.220684335908162,0.03369648738055912,**,7,0.10171378628488259,0.8907375900704526
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-4 Return,-0.20686257801520783,0.033899006885546396,**,6,0.10091776161981725,0.8915269254526182
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-3 Return + T-4 Return,-0.20580180784241023,0.035313758003892595,**,6,0.10061670998099681,0.8918254472457343
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-4 Return,-0.21652117614546934,0.035807719231363506,**,7,0.10165179387199508,0.890799061538694
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return + T-3 Return + T-4 Return,-0.21601571200298778,0.03703337832642117,**,7,0.10140856758280359,0.8910402439094891
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-2 Return + T-4 Return,-0.20245694610927192,0.03730881044016586,**,6,0.10066426739537482,0.8917782894734939
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-4 Return,-0.1996747109538315,0.03916260312082897,**,5,0.09620536691603854,0.8961997202009028
