,expiration_date,skew,kurt,atm_iv,lowest_iv,left_mean,right_mean,left_sigma,right_sigma,left_phi,right_phi,d25_iv_diff,F,a0L,a1L,a0R,a1R,right_edge,start_left_phi,start_right_phi,return0,return1,iv_diff
2021-02-05,2021-02-12,0.53,2.75,0.9417306402921575,0.9417303922350672,-36362.70270659277,37718.03136364753,1882.8895984699695,2571.926077641473,-0.07824986231428303,-0.09606346859095061,1.5210470693094178,37891.35388423922,0.01,0.03,0.95,0.98,113674,-0.1,0,0.11161708775392519,0.24704382162346694,2.4805709031294754e-07
2021-02-12,2021-02-19,2.41,11.75,1.1507983798616555,1.0774443330160608,-44893.84952331585,52859.62019886857,2807.094818164269,939.6767455628544,-0.13654580109559228,-1.1520978787019673,1.0124685438114722,47839.56329443432,0.01,0.03,0.95,0.98,143518,-0.1,0,0.21107709855522816,0.15312382792874196,0.07335404684559466
2021-02-19,2021-02-26,0.17,1.81,0.9877533904680038,0.9857957577839831,-54128.65129424933,55226.70122832792,2992.257169118906,4381.84303921354,-0.0965517152421623,-0.03019367537499553,0.8253114842897933,56132.055944248474,0.01,0.03,0.95,0.98,168396,-0.1,0,0.16720052624480336,-0.10796057140521245,0.001957632684020716
2021-03-05,2021-03-12,-0.19,1.87,0.9119280141092957,0.8920963495503523,-47037.26747195197,48552.84252249078,2487.2997134224997,3250.6462689730706,-0.1246544046177041,-0.01867179838524438,1.0048250953037186,48486.23558141735,0.01,0.03,0.95,0.98,145458,-0.1,0,0.05209778942915605,0.16796920678647145,0.019831664558943363
2021-03-12,2021-03-19,0.05,1.96,0.9288901041685371,0.9273951539967347,-54239.9773790187,56353.87389882095,2356.1726409186704,4234.145322139059,-0.16096744149410297,-0.019884353469610032,1.0351353581538798,57233.36554336188,0.01,0.03,0.95,0.98,171700,-0.1,0,0.16029378718457377,0.004436155649622497,0.001494950171802456
2021-03-19,2021-03-26,-0.21,2.13,0.8121912312260604,0.795116646436707,-57093.40514228959,58718.20237083017,2642.4848381495067,3398.591349726162,-0.132300317561238,-0.028509949529065916,0.8629731640664012,58521.71621970005,0.01,0.03,0.95,0.98,175565,-0.1,0,0.01402674393718959,-0.046435770290028246,0.01707458478935342
2021-04-09,2021-04-16,-0.54,3.43,0.6065267186373079,0.6043067130748765,-57361.04595569842,57513.132169757395,1575.7935866222865,3232.0336329581914,-0.19726032384472303,0.08259568236154681,0.3835993652379637,58714.8651708645,0.01,0.03,0.95,0.98,176144,-0.1,0,-0.013792214791698622,0.054568711818078396,0.002220005562431404
2021-04-16,2021-04-23,-0.81,5.26,0.5836143427615509,0.5675520941022043,-60396.651478001586,61815.62550445313,1497.122809730135,2573.8862509547644,-0.25258859003501066,0.0011496886071403908,0.42341216848986307,61806.20308420621,0.01,0.03,0.95,0.98,185418,-0.1,0,0.05344962788039563,-0.21137488710790403,0.01606224865934658
2021-04-23,2021-04-30,-0.15,1.94,0.8909316842522434,0.8718892158729588,-48617.14439318961,50529.039072693195,2404.900350275997,3241.3995041458675,-0.1347659022139488,-0.028084576152193327,0.9737462141378133,50293.121454839966,0.01,0.03,0.95,0.98,150879,-0.1,0,-0.18207119199248362,0.1098751439879801,0.019042468379284694
2021-05-07,2021-05-14,-0.36,2.48,0.659908332801874,0.6465468627903629,-57427.342013724105,57763.53370005106,2322.1618392279734,2773.983051845478,-0.11719202046843455,-0.007385339801245084,0.4676521964734337,57823.40523730419,0.01,0.03,0.95,0.98,173470,-0.1,0,-0.006651504368743786,-0.12351012833368434,0.013361470011511112
2021-05-14,2021-05-21,-1.0,4.02,0.8927327113049315,0.8304042556182958,-51958.78442796157,50313.5913217852,3485.943640859181,3052.078640116738,-0.15893379197988944,0.013836261096363014,0.8000604276813654,49833.04836135738,0.01,0.03,0.95,0.98,149499,-0.1,0,-0.13972395162191162,-0.2877338803946479,0.0623284556866357
2021-05-21,2021-05-28,-0.23,1.55,1.485999149125901,1.36724379003067,-35103.36861450001,36867.25674444328,3006.8496501343034,3536.1135215690765,-0.15380339655283293,-0.030732205144053844,1.2843548635865911,36057.96578252213,0.01,0.03,0.95,0.98,108173,-0.1,0,-0.29119543498937844,-0.12780121485783763,0.11875535909523105
2021-06-04,2021-06-11,-0.59,2.74,0.923701834181572,0.8624749310572036,-36848.94424212306,37276.028085085505,2075.722792361016,2214.761593346234,-0.1431583818269313,-0.012559650358233008,0.7563381521106742,36813.29659370766,0.01,0.03,0.95,0.98,110439,-0.1,0,0.03220577083634028,-0.0500190706766005,0.061226903124368404
2021-06-11,2021-06-18,-0.57,3.01,0.854683316736813,0.8165271434699085,-36752.84977994197,37454.46878085553,1815.7917073111885,2145.502546735918,-0.1697207396479874,-0.019108267519014885,1.1332165620422372,37157.4230387865,0.01,0.03,0.95,0.98,111472,-0.1,0,0.013560680790963694,-0.023670555488627374,0.03815617326690446
2021-06-18,2021-06-25,-0.18,1.68,0.886092103929395,0.8627716055063126,-35601.99487135559,35327.51017568237,2296.088219056647,2269.535558858737,-0.043334545289702486,-0.011649014963889572,0.9460596621205449,35345.0323915207,0.01,0.03,0.95,0.98,106035,-0.1,0,-0.04134840212568443,-0.18736483980213897,0.02332049842308237
2021-07-09,2021-07-16,-0.56,2.54,0.7646440693943034,0.7189687227796648,-33948.34911316245,34099.62754079414,1874.349394748489,1671.0220799146696,-0.09657828500011795,-0.016596956215200985,1.1669485270400428,33629.71342038169,0.01,0.03,0.95,0.98,100889,-0.1,0,0.0008659462823123643,-0.046440020562303314,0.04567534661463857
2021-07-16,2021-07-23,-0.28,2.32,0.6749717621984042,0.6599701819858897,-31081.461060642818,31688.496853078053,1269.362578868113,1457.3613799407858,-0.11728449453481243,-0.035291179833879485,1.2564210032912428,31519.59179656665,0.01,0.03,0.95,0.98,94558,-0.1,0,-0.074634377946052,0.05373413261009844,0.01500158021251441
2021-07-23,2021-07-30,-0.45,2.79,0.7252998223319618,0.7068164222765766,-32321.508113381176,33357.381040844935,1217.7917281724704,1760.2733900526327,-0.1796851999066318,-0.005844153965468321,0.9272283890664966,33275.04420320406,0.01,0.03,0.95,0.98,99825,-0.1,0,0.06924638793516742,0.26788852135982927,0.01848340005538518
2021-08-06,2021-08-13,0.27,2.72,0.8568773028859902,0.8560255247270036,-40523.76019085411,42945.01428704784,1604.433563894651,2432.6487023908194,-0.15473202257671592,-0.09959556731005234,1.0623119975608872,42726.373367153756,0.01,0.03,0.95,0.98,128179,-0.1,0,0.014828259765299383,0.15681384634018822,0.0008517781589866269
2021-08-13,2021-08-20,0.4,2.89,0.873146175636126,0.8731133344373248,-45428.33951417261,47482.01069644178,1926.983767526152,2994.842662462069,-0.14202407681284646,-0.09480185919214408,0.4512177216669343,47567.408201722006,0.01,0.03,0.95,0.98,142702,-0.1,0,0.10962645914541769,0.1051389373565106,3.28411988012034e-05
2021-08-20,2021-08-27,3.59,16.49,0.7856061966009042,0.7847929704766499,-47057.001402161935,52800.17113485746,1599.639958301122,283.6120496253386,-0.17512376964817244,-2.865168705411305,0.4886982197700567,49161.1662217326,0.01,0.03,0.95,0.98,147483,-0.1,0,0.0313543278527603,0.048204416482842544,0.0008132261242543848
2021-09-03,2021-09-10,-0.06,1.94,0.7553136498767234,0.7466041637255557,-49306.13905901271,50013.09734298322,2360.5443668412117,2709.688520158432,-0.0850751403558447,-0.038924944060164564,0.9229823906776649,49973.135500855285,0.01,0.03,0.95,0.98,149919,-0.1,0,0.018759993085522456,-0.09349706072692474,0.008709486151167734
2021-09-10,2021-09-17,-0.3,2.96,0.7498970059760243,0.7394884107156591,-43484.84141908222,44787.602441078736,1662.1226669613548,2366.4412105996416,-0.18274363280513528,-0.04181018343092141,1.230436193894757,44729.06833803935,0.01,0.03,0.95,0.98,134187,-0.1,0,-0.10863912647408334,0.0193151602976791,0.010408595260365194
2021-09-17,2021-09-24,-0.38,2.85,0.6928439282253209,0.6783403136035276,-45676.359281697034,47307.02808341845,1571.697330312545,2330.5039229633267,-0.1876246321770735,-0.022297615439635772,0.9137253694637066,47120.331259988416,0.01,0.03,0.95,0.98,141360,-0.1,0,0.053360212328117086,-0.10893871166278002,0.014503614621793282
2021-10-08,2021-10-15,-0.24,2.62,0.7395431464805258,0.7307519030020695,-52270.93937981519,54252.37809758012,1818.6999320163532,2968.05030465362,-0.191439933343866,-0.026127232505637324,0.7462797428360535,54288.94975596811,0.01,0.03,0.95,0.98,162866,-0.1,0,0.11393752918050111,0.13683812112022123,0.008791243478456279
2021-10-15,2021-10-22,-0.06,1.56,0.9215659954698981,0.9134607326605877,-58515.12158978981,60808.0989004431,2489.98945840728,5150.560333580643,-0.175809401122818,0.038484015978408996,0.37750960881692064,61796.73323848616,0.01,0.03,0.95,0.98,185390,-0.1,0,0.13367404586145593,0.0566126868993488,0.008105262809310454
