Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,-0.03000108762352916,0.4051181555821818,,0.028147646118823377,0.4324859348660419,,-0.07639882209385242,0.02931517360864048,**,0.007572331319526726,0.9912247260517695
Std,-0.019174910116280842,0.5964896805034839,,0.03278492007569577,0.361671733770599,,-0.015482069110414767,0.6598585109359565,,0.0020471764107141688,0.996743183803117
Median,-0.027997271133459175,0.43620066991956297,,0.0271768067520429,0.4489604550868499,,-0.07434555857469531,0.033677731166379295,**,0.0072843970470121144,0.9915123113130448
Fear and Greed Index,-0.021118987809076388,0.5567136437949793,,0.03193283703549246,0.37485384751246675,,-0.003786862101833542,0.9138080013900751,,0.0018258139433904308,0.9969642779522984
VIX,-0.02171459390441284,0.5479476264393964,,0.0318641166946253,0.37631053454131946,,0.004024873450464841,0.9088154579504892,,0.001827520259064408,0.996962573704886
T-1 Return,-0.029433446828287593,0.4217137250682499,,0.028357535293098632,0.43152711720923265,,-0.03966273483974777,0.2656171030695056,,0.0033180377347694634,0.9954738629170301
T-2 Return,-0.019626554894017243,0.5851548748245325,,0.03225170973332287,0.36903560045909123,,0.028150420268094316,0.4202851590573109,,0.002601427019406022,0.9961896050133449
T-3 Return,-0.021092161032350874,0.5570027330206402,,0.03243199463083333,0.3666448054268754,,0.011327445511904123,0.7454244770396657,,0.0019397986672446965,0.9968504313917455
T-4 Return,-0.018275180181210906,0.6106054199301663,,0.03217226923543649,0.36954437620098524,,0.05987715371401156,0.08614041276987956,*,0.005387985785784033,0.9934064238939564
