日期,平均值 Mean,標準差 Std,偏度 Skewness,峰度 Kurtosis
2022-04-01,46053.2191,14028.0400,0.5105,1.4451
2022-04-02,45744.5725,13935.8949,0.5964,1.7563
2022-04-03,46196.7583,14010.7103,0.5076,1.7261
2022-04-04,46469.9821,13649.8796,0.4761,1.3391
2022-04-05,45439.8581,14172.0093,0.4486,1.3676
2022-04-06,43057.6540,14521.4350,0.4989,1.3829
2022-04-07,43340.3717,13656.3987,0.4952,1.2611
2022-04-08,42108.4957,13310.7764,0.4099,1.2668
2022-04-09,42588.0029,12773.2368,0.4037,1.0607
2022-04-10,42010.6353,12719.3944,0.3738,1.3501
2022-04-11,39328.7282,12077.7095,0.3381,1.1571
2022-04-12,39972.1865,11523.8525,0.5097,1.2841
2022-04-13,40949.2828,11761.6524,0.3532,1.1339
2022-04-14,39816.6316,11392.7541,0.3390,1.3359
2022-04-15,40428.7359,11046.5033,0.3805,1.0913
2022-04-16,40291.8793,10946.7606,0.3494,1.1749
2022-04-17,39517.3381,11345.0899,0.2859,1.4169
2022-04-18,40749.8382,10782.7071,0.1627,1.0587
2022-04-19,41362.2438,10770.9440,0.1517,1.0820
2022-04-20,41473.7020,10471.4808,0.1874,1.1378
2022-04-21,40435.1845,11114.1309,0.0847,1.5149
2022-04-22,39663.4174,10230.8128,0.1334,1.3748
2022-04-23,39490.1618,10214.6724,0.1096,1.3132
2022-04-24,39431.7720,10029.7108,0.1715,1.3266
2022-04-25,40360.0816,10003.8017,0.3057,1.1605
2022-04-26,37785.2024,10134.9537,0.2394,1.5785
2022-04-27,39114.2621,9894.3208,0.2052,1.1028
2022-04-28,39680.6378,9818.0172,0.1006,1.5555
2022-04-29,38550.9641,9044.0321,0.1283,1.3422
2022-04-30,37688.0662,9270.5474,0.0030,1.7205
2022-05-01,38318.0128,8739.1328,0.2189,1.2178
2022-05-02,38481.0209,8961.4319,0.1219,1.3823
2022-05-03,37689.8983,8844.6614,0.0544,1.4170
2022-05-04,39604.7100,8702.7007,0.1015,1.2871
2022-05-05,36470.1044,8025.3451,0.2624,1.3047
2022-05-06,35950.8288,8015.5456,0.0879,1.1693
2022-05-07,35547.2546,7843.5775,0.2040,1.0789
2022-05-08,33946.9229,7926.8726,0.0091,1.5851
2022-05-09,30094.1300,8587.9455,0.1024,1.2487
2022-05-10,30856.0427,7952.2612,0.1571,1.4812
2022-05-11,28763.9918,8513.7731,0.0087,0.9936
2022-05-12,28731.3065,8987.5131,0.0487,0.9537
2022-05-13,29138.5245,8061.2409,0.0382,1.3257
2022-05-14,29901.6104,7396.8701,-0.1452,1.4102
2022-05-15,31146.4341,7641.8833,-0.0638,1.2287
2022-05-16,29772.4250,7897.7764,-0.1261,1.1554
2022-05-17,30381.5414,7447.8307,-0.2356,1.2249
2022-05-18,28636.6134,7586.7509,-0.0866,1.3602
2022-05-19,30204.4036,7071.2220,-0.2948,1.2881
2022-05-20,29192.5793,7217.9425,-0.1343,1.1939
2022-05-21,29340.3741,6920.6227,-0.2646,1.4174
2022-05-22,30196.3553,6662.6305,-0.1468,1.4094
2022-05-23,29053.7944,6821.8320,-0.2492,1.8031
2022-05-24,29564.1896,6273.7840,-0.0393,1.1784
2022-05-25,29519.9280,6437.6893,-0.3768,1.8718
2022-05-26,29176.8712,6308.6626,-0.2298,1.7446
2022-05-27,28585.6718,6171.5940,-0.3256,1.7875
2022-05-28,28976.4003,5730.9807,-0.3120,1.4555
2022-05-29,29399.0983,5609.5803,-0.4266,1.9233
2022-05-30,31684.2245,5873.0524,-0.1064,1.3648
2022-05-31,31807.9811,5640.6090,-0.2502,1.7740
2022-06-01,29826.8534,5320.7198,-0.1214,1.2393
2022-06-02,30419.1566,4998.1743,-0.2640,1.3036
2022-06-03,29645.7889,4766.3492,-0.4836,2.0123
2022-06-04,29806.4738,4471.9327,-0.3476,1.7449
2022-06-05,29899.4613,4616.1666,-0.5437,2.5827
2022-06-06,31333.3891,4514.0012,-0.5263,2.5514
2022-06-07,31147.9571,4505.3659,-0.1847,1.3779
2022-06-08,30306.1908,4368.5928,-0.1858,1.4299
2022-06-09,30067.5148,4255.9877,-0.3573,1.8730
2022-06-10,29059.4923,4007.8211,-0.2533,1.4522
2022-06-11,28369.2511,4019.5067,-0.6282,2.3845
2022-06-12,26639.4395,5060.7704,-1.2287,3.3252
2022-06-13,22376.4014,4514.8151,0.3381,1.2233
2022-06-14,22047.9002,4043.5361,-0.1258,0.9299
2022-06-15,22375.2858,3155.2164,0.0228,0.6305
