日期,平均值 Mean,標準差 Std,偏度 Skewness,峰度 Kurtosis
2021/4/1,56711.2026,23010.5311,1.199,2.2449
2021/4/2,57330.8484,23289.0243,1.5917,2.7398
2021/4/3,55403.4163,22636.6362,1.4082,2.4883
2021/4/4,53745.0898,20782.3929,1.5267,3.5729
2021/4/5,57296.994,22598.7933,1.664,3.0851
2021/4/6,56686.553,23046.9777,1.581,2.6361
2021/4/7,54326.2776,21633.3158,1.2393,2.4547
2021/4/8,56748.7374,21380.1535,1.2444,2.3832
2021/4/9,56577.6303,21810.1476,1.6776,3.2106
2021/4/10,57747.8052,23009.4657,1.8837,3.7297
2021/4/11,58075.2913,23034.3646,1.7562,3.4565
2021/4/12,56384.385,22848.3511,1.918,4.2961
2021/4/13,61889.754,25289.0373,1.6351,2.9365
2021/4/14,61338.465,23616.1132,1.3478,2.7045
2021/4/15,61987.3032,22303.3637,1.4722,3.0382
2021/4/16,60592.1954,21095.3443,1.1598,2.45
2021/4/17,59688.1245,19874.6909,0.9924,2.1344
2021/4/18,54887.1712,20944.3379,1.289,2.5727
2021/4/19,54763.694,19798.6963,1.1551,2.409
2021/4/20,55795.6903,20315.8133,1.214,2.5532
2021/4/21,52763.3109,18774.8676,1.6156,3.3939
2021/4/22,51067.7307,18881.356,1.0022,1.8497
2021/4/23,50495.6517,18239.8231,0.6506,1.3031
2021/4/24,49323.7825,18734.2132,0.7114,1.3703
2021/4/25,48194.1725,17936.6553,0.7042,1.1547
2021/4/26,53412.3301,17955.5261,0.3484,1.1448
2021/4/27,54488.3615,17349.8925,0.7147,2.0726
2021/4/28,54366.069,17162.4445,0.6043,1.8676
2021/4/29,53170.1725,16112.5253,0.2567,1.4333
2021/4/30,57707.426,17016.0209,0.3628,1.8065
2021/5/1,57682.3297,17076.574,0.5502,2.2711
2021/5/2,56284.9185,17083.0953,0.4588,1.7383
2021/5/3,57072.3264,18057.5048,0.5679,1.8244
2021/5/4,52798.5736,16547.1325,0.5803,1.8442
2021/5/5,57049.37,17856.4787,0.5425,1.8523
2021/5/6,56340.3894,17323.4259,0.5389,1.9386
2021/5/7,56944.2789,17297.8273,0.4323,1.7888
2021/5/8,58750.8273,18556.4219,0.7398,2.3841
2021/5/9,57945.3251,17679.1843,0.4847,1.8417
2021/5/10,55620.7068,17655.0018,0.5446,1.756
2021/5/11,56575.8811,17507.4495,0.5576,1.9398
2021/5/12,49054.1598,16769.1007,0.7819,1.9928
2021/5/13,49392.5443,15100.0892,1.0182,2.3567
2021/5/14,49663.2906,15830.2519,0.4751,1.3513
2021/5/15,46497.5305,15461.904,0.4349,1.1993
2021/5/16,45975.97,14404.6353,0.4755,1.1962
2021/5/17,43073.4401,15345.7848,0.5144,0.8043
2021/5/18,42715.8546,14369.0632,0.2784,0.812
2021/5/19,37149.0978,13289.8705,0.4239,0.8119
2021/5/20,40286.7301,13015.2652,0.1828,0.6748
2021/5/21,36690.5156,13954.3499,0.3536,0.4487
2021/5/22,37442.6243,14095.0642,0.2918,0.4322
2021/5/23,34196.5316,13080.7218,0.3393,0.2891
2021/5/24,38475.6013,11984.7448,0.2157,0.9808
2021/5/25,38014.8512,12039.1632,0.4011,0.9798
2021/5/26,39118.049,11295.1719,0.1663,0.9102
2021/5/27,38286.9145,10210.4264,0.0181,1.2711
2021/5/28,35371.7924,10245.9201,0.2153,0.8067
2021/5/29,34375.6843,10576.0447,0.1522,0.7579
2021/5/30,35527.527,10492.4046,0.0585,0.9052
2021/5/31,37178.2956,9475.9035,0.0474,1.0319
2021/6/1,36510.5529,9114.2365,0.1706,1.1641
2021/6/2,37656.7042,9110.2844,0.2503,1.4192
2021/6/3,39004.8142,8579.4116,0.0898,1.238
2021/6/4,36926.9444,8800.2706,-0.0658,1.2018
2021/6/5,35371.185,8501.0889,0.0731,0.9408
2021/6/6,35827.8441,8056.7405,0.0669,1.315
2021/6/7,33495.5,7782.0945,-0.2816,1.2721
2021/6/8,33407.4456,7379.871,-0.0202,1.325
2021/6/9,37239.1203,7571.0675,0.379,1.5118
2021/6/10,36708.7808,7092.8384,-0.1095,1.4417
2021/6/11,37170.9831,6603.3622,-0.1631,1.4503
2021/6/12,35573.3498,6500.5492,-0.1542,1.5237
2021/6/13,38994.9081,6993.741,-0.0725,1.3193
2021/6/14,40169.2208,6344.0412,0.2066,0.9665
2021/6/15,40131.7333,5956.7055,-0.1672,1.4284
