Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T Return,T-1 Return,T-2 Return,T-3 Return,T-4 Return
2022-02-11,2022-02-18,42611.80534476859,3919.3181481260767,-0.3425898664352857,1.7686788742251816,36117.4,40373.100000000006,42723.0,45033.100000000006,48678.3,-0.05828834488359274,-0.09944781085277099,0.10962645914541769,-0.1820710289529174,-0.0994180753674157
2022-03-04,2022-03-11,39140.674762298855,4388.427039713986,-0.10693005871291275,1.1571580034652929,31950.300000000003,36467.0,39209.0,41884.200000000004,46101.100000000006,-0.010762803559755589,-0.12843530475503656,0.03135411864771742,-0.139711040543648,-0.10908183809900789
2022-03-11,2022-03-18,38688.50030511688,4011.9601676952984,0.008181866184430597,1.126771067788864,32145.600000000002,36208.3,38747.1,41165.8,45089.5,0.07527592439936603,-0.021643842010422916,-0.10866192712618297,-0.2911410640525768,0.2110530712560365
2022-04-08,2022-04-15,42342.54883032384,3341.383086512797,-0.5176762307184498,2.2198138509686,36707.0,40519.700000000004,42498.8,44398.3,47380.8,-0.041069291438686296,0.09680046722035515,0.05316599451077556,0.013564753660021592,0.16742360424637878
2022-04-15,2022-04-22,40400.770942853625,2735.59615593867,-0.20802276620325855,0.7805351750061291,35781.4,38702.1,40530.8,42188.200000000004,44625.9,-0.021000239977836958,0.035299489769487026,0.13375263197862855,-0.04134840212568443,0.1601932728382199
2022-05-06,2022-05-13,35908.147494853794,2727.2059873476387,-0.3768186282128319,1.5212916133349994,31262.9,34347.200000000004,36054.200000000004,37622.6,40047.9,-0.2067559265225345,-0.16678078223352008,-0.016087219316751406,-0.074634377946052,0.01402674393718959
2022-05-13,2022-05-20,29516.935426733573,3868.2849808263845,-1.483177905251327,6.727006332250776,23423.300000000003,27890.0,29831.7,31705.7,34786.9,-0.002942141081954314,0.019047609521052885,0.05094859283564314,0.06924606930009812,0.05344979987149092
2022-06-03,2022-06-10,29538.01398703709,2476.0284325598236,-0.5474401104167054,1.4539283720963025,25245.100000000002,28239.5,29842.7,31245.800000000003,33327.8,-0.020695019052258463,-0.05828834488359274,-0.09944781085277099,0.10962645914541769,-0.1820710289529174
2022-06-10,2022-06-17,29098.85958848859,2807.8601106031997,-0.5491731865562508,1.7490013758247036,24191.5,27552.4,29330.2,30874.9,33221.8,-0.35155683330952964,-0.010762803559755589,-0.12843530475503656,0.03135411864771742,-0.139711040543648
2022-07-08,2022-07-15,21755.53525879951,2157.713656177768,-0.24732320783206937,1.3991965205902481,18199.2,20475.9,21804.7,23110.100000000002,25129.4,-0.036054054013489066,0.07527592439936603,-0.021643842010422916,-0.10866192712618297,-0.2911410640525768
2022-07-15,2022-07-22,20872.402621898604,1953.3940384670627,-0.207750394830703,1.2274592219370186,17627.7,19701.100000000002,20930.300000000003,22103.800000000003,23921.600000000002,0.08530024357083561,-0.041069291438686296,0.09680046722035515,0.05316599451077556,0.013564753660021592
