Variable,Coefficient,Std Error,T-Stat,P-Value,Significance
const,-2.0816681711721685e-17,0.08994882733131726,-2.3142805002944147e-16,0.9999999999999998,
Skewness,-0.1662177485198948,0.10834399366616292,-1.5341667119273499,0.12773525826360976,
Median,-0.283972937948903,0.11117372866326129,-2.554316935874665,0.01194670994951165,**
Fear and Greed Index,0.2695599077380459,0.12882391058663925,2.0924679782698883,0.03859638186423049,**
