Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T Return,T-1 Return,T-2 Return,T-3 Return,T-4 Return
2021-09-03,2021-09-10,49998.420418144844,5322.3760292353645,0.13198308733069622,1.6335469890489511,41594.9,46799.5,49906.8,53098.8,58716.100000000006,-0.10866192712618297,-0.12583701897431543,-0.1820710289529174,0.2110530712560365,0.023991659562699913
2021-09-10,2021-09-17,44764.390546056806,4765.908258691419,-0.08175675746533179,1.3039263464247224,36955.5,41901.200000000004,44837.200000000004,47688.0,52334.3,0.05316599451077556,-0.074634377946052,0.12088150907818782,0.16742360424637878,-0.016026379640977993
2021-09-17,2021-09-24,47183.36834570438,4579.961495013306,0.03722084333161159,1.34141324696487,39828.100000000006,44399.3,47164.5,49945.5,54599.100000000006,-0.09972483795049063,0.06924606930009812,-0.139711040543648,-0.18902944069510824,-0.022824239206978632
2021-10-08,2021-10-15,54171.7022398841,5878.661735873198,-0.20927626903367444,1.7188746257804315,44477.9,50781.100000000006,54331.0,57730.200000000004,63333.5,0.13375263197862855,0.22703102155709443,-0.2911410640525768,0.1601932728382199,0.06715549474917787
2021-10-15,2021-10-22,61763.05628866667,8139.418703683437,0.1734102913904249,1.1386027141778534,48969.8,56599.8,61594.700000000004,66706.7,75185.1,-0.016087219316751406,0.10962645914541769,-0.04357842669466269,0.01402674393718959,-0.0994180753674157
2021-10-22,2021-10-29,60870.41897107513,6666.466091603572,0.16021142154240037,1.7423003963460069,50415.200000000004,56869.5,60734.200000000004,64718.700000000004,71807.3,0.025468521923638684,0.03135411864771742,0.013564753660021592,-0.05316194077321143,-0.10908183809900789
2021-11-05,2021-11-12,61215.955230875,6322.626986372657,-0.17795324193746534,1.4697545108838534,50844.600000000006,57482.100000000006,61330.700000000004,65106.3,71174.40000000001,0.05094859283564314,-0.005133945950425964,-0.04134840212568443,0.05344979987149092,0.038906131754175094
2021-11-12,2021-11-19,64114.21413627458,7017.223125469999,0.17230465578788226,0.9999923171406055,53003.5,59611.8,64015.3,68429.8,75641.3,-0.09944781085277099,-0.10866192712618297,-0.12583701897431543,-0.1820710289529174,0.2110530712560365
2021-11-19,2021-11-26,57781.34251543156,5787.95525808252,0.12891270106965336,1.1995015254562027,48563.8,54177.4,57711.600000000006,61280.600000000006,67254.0,-0.07743637433895674,0.05316599451077556,-0.074634377946052,0.12088150907818782,0.16742360424637878
2021-12-03,2021-12-10,53479.486140074216,5623.426762969007,-0.31435310849512693,1.7285448752319885,44033.600000000006,50291.700000000004,53712.3,56921.9,62111.8,-0.12843530475503656,-0.09972483795049063,0.06924606930009812,-0.139711040543648,-0.18902944069510824
2021-12-10,2021-12-17,47472.91316137745,5514.026402845284,-0.09211701908807854,1.5814882338942287,38646.6,44203.4,47451.3,50796.100000000006,56338.0,-0.021643842010422916,0.13375263197862855,0.22703102155709443,-0.2911410640525768,0.1601932728382199
2021-12-17,2021-12-24,46143.10194608354,4789.673338839402,-0.023924322765112346,1.4094811540253893,38401.0,43266.100000000006,46157.0,49037.8,53833.0,0.09680046722035515,-0.016087219316751406,0.10962645914541769,-0.04357842669466269,0.01402674393718959
2021-12-24,2021-12-31,50914.306478022845,5164.3234198737755,0.19413424199356527,1.8910272060871662,42868.0,47843.9,50777.200000000004,53843.3,59433.600000000006,-0.09494379671435668,0.025468521923638684,0.03135411864771742,0.013564753660021592,-0.05316194077321143
2022-01-07,2022-01-14,41544.599758659104,3838.5485842195867,-0.0003138690343533197,1.409282905855643,35378.1,39234.3,41527.3,43855.200000000004,47751.5,0.035299489769487026,0.05094859283564314,-0.005133945950425964,-0.04134840212568443,0.05344979987149092
2022-01-14,2022-01-21,42959.45097311802,3147.1908469774867,-0.17117942233245434,1.3543435041904495,37745.8,41094.9,43039.8,44905.5,47896.700000000004,-0.16678078223352008,-0.09944781085277099,-0.10866192712618297,-0.12583701897431543,-0.1820710289529174
