Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T Return,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
2021-01-09,2021-01-10,38229.76151317734,3289.3339562315286,-0.188384192861853,-0.0042662341172139,36963.1,39521.3,41043.100000000006,42372.100000000006,48366.2,-0.0495562435922021,0.0406016172561466,-0.004635215616035,-0.009480998907668,-0.0577797263454433,93,24.48
2021-01-10,2021-01-11,35278.31598360935,3470.849662704743,-1.0856022986266631,0.9423626843726524,34343.0,36511.4,38161.5,39597.0,46908.5,-0.0746881986220901,-0.0495562435922021,0.0406016172561466,-0.004635215616035,-0.009480998907668,94,24.48
2021-01-11,2021-01-12,32103.63579666013,2971.8282307324894,1.792472101040834,0.2334017850767149,29108.6,33663.3,34556.5,35564.0,37636.3,-0.0389716343884231,-0.0746881986220901,-0.0495562435922021,0.0406016172561466,-0.004635215616035,90,24.48
2021-01-12,2021-01-13,34360.20192767338,3428.0780831807037,0.49091672204729,1.824132822864665,28981.5,32066.7,34436.200000000004,36388.2,39777.0,0.093038721866485,-0.0389716343884231,-0.0746881986220901,-0.0495562435922021,0.0406016172561466,84,23.33
2021-01-13,2021-01-14,32162.905480663103,4952.120797788444,1.1553379635286325,-1.6006695540568083,34815.0,36330.8,37356.8,38500.5,40859.7,0.0463547564222311,0.093038721866485,-0.0389716343884231,-0.0746881986220901,-0.0495562435922021,78,22.67
2021-01-14,2021-01-15,38784.502845872055,2911.5639916005075,0.7365210048947246,2.173640576474181,34435.8,37051.7,38711.5,40485.9,43899.600000000006,-0.0633334246881056,0.0463547564222311,0.093038721866485,-0.0389716343884231,-0.0746881986220901,83,23.17
2021-01-15,2021-01-16,36103.78207360634,3278.2916224163846,0.6379752698921151,7.824760570709296,33339.4,34997.0,36364.1,37526.1,46798.9,-0.0205470182784362,-0.0633334246881056,0.0463547564222311,0.093038721866485,-0.0389716343884231,88,23.77
2021-01-16,2021-01-17,36250.1456861367,2026.9233611034176,1.1239634423022835,4.71414233727824,31766.6,35036.3,36070.2,37208.4,39685.9,-0.0046327480304883,-0.0205470182784362,-0.0633334246881056,0.0463547564222311,0.093038721866485,84,23.77
2021-01-17,2021-01-18,35281.90383273013,3103.038927704948,-1.5326575585505322,3.337673519283138,33185.8,34835.3,35791.1,36824.9,38870.8,0.0221555109664707,-0.0046327480304883,-0.0205470182784362,-0.0633334246881056,0.0463547564222311,79,23.77
2021-01-18,2021-01-19,34487.01908697607,2166.5021676933266,1.229659102520979,-1.3096632142224625,34089.6,35574.5,36466.5,37378.6,41183.4,-0.0204020271840596,0.0221555109664707,-0.0046327480304883,-0.0205470182784362,-0.0633334246881056,79,25.58
