Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,Std_Coef,Std_p,Std_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,-0.035710303165869615,0.33272008908818285,,0.02617809813577069,0.46671344547599747,,0.029916156409477326,0.4593589511270696,,-0.09122613282509923,0.023964249547762488,**,0.008235088046504191,0.9905627726662798
Median,-0.03530923555585413,0.33757002743856446,,0.024112566880398964,0.503550174909752,,0.03945996751344484,0.35419306877684564,,-0.09662122796316738,0.02297477454849289,**,0.008323663245665358,0.9904743048309962
Fear and Greed Index,-0.019174321640649777,0.5967251979046208,,0.03281319511634915,0.36286365128027553,,-0.015586505691031753,0.6697700265980878,,0.0003858406047832022,0.9915299652688723,,0.0020473136465450903,0.9967430467336327
VIX,-0.01956005766140206,0.5920027977363611,,0.032540245872489264,0.36695696893564,,-0.015298190139036796,0.6643837203297074,,0.0031273256731279312,0.9292452260988744,,0.002056777733013715,0.9967335941187841
T-1 Return,-0.027312981875514925,0.4595550246022996,,0.028972169763664214,0.4221447010938728,,-0.01642941417871372,0.6405170260083245,,-0.0400615301303921,0.261208762105858,,0.003583216628559649,0.9952090054522023
T-2 Return,-0.017618467722303945,0.6271960503275167,,0.03285007048770528,0.3608259495967404,,-0.015071566625404141,0.6684322914927351,,0.027931979639275926,0.42417901367530897,,0.0028246651781905774,0.9959666374462679
T-3 Return,-0.019171830445365058,0.5967547538357008,,0.03297362208418807,0.35926966309866315,,-0.014474588396498251,0.6824437123146894,,0.009874994743983765,0.7783625226963583,,0.00214363780901472,0.9966468393277236
T-4 Return,-0.01633422772967515,0.6519300256869333,,0.03275089021273758,0.36160808454089055,,-0.014559106249444594,0.6786466983529698,,0.05965518683027531,0.08750597151739492,*,0.005596296271155543,0.9931983659061429
