Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,-0.04028021868767453,0.6640328536736759,,-0.15045011222246443,0.10655560071223953,,0.025908501036342124,0.9659058561152236
Std,0.018248763579783785,0.86202512642431,,-0.16349485660669555,0.12135479220023905,,0.024179549372412512,0.9676202787735741
Kurtosis,0.036576383186525604,0.7746155247688828,,-0.14099877615965783,0.2708406809580971,,0.014097235923860474,0.977617866899029
Median,-0.043062374930303744,0.641620689865857,,-0.15023056936586088,0.10623520385988271,,0.0259487670078834,0.9658659285131913
Fear and Greed Index,-0.10219504163161751,0.34547891640623507,,0.08037813994281903,0.45775997120613454,,0.008437865545334322,0.9832296795432822
VIX,-0.07519028384918194,0.4289107365013992,,-0.0667113654080723,0.4826451959680652,,0.007935646869096868,0.983727677894509
T-1 Return,-0.053902771005162484,0.5771086967188956,,-0.024884581674078587,0.7967448902655848,,0.004265214314192134,0.9873672664783641
T-2 Return,-0.06542428706020814,0.48928696774713143,,0.024835113429474354,0.792778039786508,,0.004288280677644307,0.987344393949899
T-3 Return,-0.06209960388058781,0.5069627677934085,,0.011512123253373446,0.9020059885487735,,0.003823912839884702,0.9878048595369211
T-4 Return,-0.051553972697508305,0.5805254070326933,,-0.07884951687731587,0.39841336372500535,,0.009825435889233902,0.9818537694543733
