Variable,VIF
const,4.552969912923105
Mean,9.39656748662736
Std,7.832342633124086
Skewness,1.60708080718361
Kurtosis,1.241200625510857
Fear and Greed Index,2.512959806818106
T-1 Return,1.0288096348160993
T-2 Return,1.0230656631352681
T-3 Return,1.084378559083887
T-4 Return,1.0387855855835957
