Variable,VIF
const,1.0033876964053399
Mean,1.4821377358714491
Skewness,1.0626063553039053
Fear and Greed Index,1.5216342819844453
T-1 Return,1.010870905041902
T-2 Return,1.0336408490624371
T-4 Return,1.0240452822278663
