Variable,VIF
const,4.658609451451386
Mean,9.402203682745288
Std,7.791251887460478
Skewness,1.6068897613847262
Kurtosis,1.2347504700823881
Fear and Greed Index,2.5137176420083067
T-1 Return,1.0292869211516549
T-2 Return,1.023128519832793
T-3 Return,1.0840035874435263
T-4 Return,1.0388363856025769
