,一個點,,,,兩個點,,,
日期,平均值 Mean,標準差 Std,偏度 Skewness,峰度 Kurtosis,平均值 Mean2,標準差 Std3,偏度 Skewness4,峰度 Kurtosis5
2022/6/1,29826.8534,5320.7198,-0.1214,1.2393,29824.4945,5316.6992,-0.1288,1.203
2022/6/2,30419.1566,4998.1743,-0.264,1.3036,30419.5473,5000.2381,-0.2607,1.3052
2022/6/3,29645.7889,4766.3492,-0.4836,2.0123,29646.6101,4769.1685,-0.4782,2.0189
2022/6/4,29806.4738,4471.9327,-0.3476,1.7449,29807.6321,4475.6646,-0.34,1.7592
2022/6/5,29899.4613,4616.1666,-0.5437,2.5827,29901.6643,4622.8221,-0.5301,2.603
2022/6/6,31333.3891,4514.0012,-0.5263,2.5514,31336.4164,4522.874,-0.5075,2.5842
2022/6/7,31147.9571,4505.3659,-0.1847,1.3779,31147.933,4507.0141,-0.181,1.3862
2022/6/8,30306.1908,4368.5928,-0.1858,1.4299,30306.3242,4369.8806,-0.1827,1.4385
2022/6/9,30067.5148,4255.9877,-0.3573,1.873,30068.6287,4259.4813,-0.3497,1.8891
2022/6/10,29059.4923,4007.8211,-0.2533,1.4522,29059.2266,4007.6542,-0.2532,1.4534
2022/6/11,28369.2511,4019.5067,-0.6282,2.3845,28367.1327,4014.2061,-0.6399,2.3693
2022/6/12,26639.4395,5060.7704,-1.2287,3.3252,26637.774,5057.3597,-1.2348,3.3257
2022/6/13,22376.4014,4514.8151,0.3381,1.2233,22377.1633,4524.2622,0.3533,1.245
2022/6/14,22047.9002,4043.5361,-0.1258,0.9299,22045.9011,4040.3981,-0.1332,0.8934
2022/6/15,22375.2858,3155.2164,0.0228,0.6305,22374.6984,3155.918,0.0257,0.6381
