Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T Return
2020-03-20,2020-03-27,6113.45759999491,1405.2505101815623,-0.02436127700723591,2.246074210392128,3798.9,5365.900000000001,6124.1,6902.200000000001,8359.7,0.023991659562699913
2020-06-19,2020-06-26,9311.089719260239,702.310284850646,-0.01922312999843062,1.939795518866175,8184.6,8907.2,9310.300000000001,9716.7,10438.7,-0.016026379640977993
2020-09-18,2020-09-25,10924.233902692744,892.4851812588329,-0.8559616407015523,2.6070564673449255,9362.5,10483.0,11032.7,11515.5,12223.1,-0.022824239206978632
2020-12-18,2020-12-25,22999.536405216462,2293.5515102065638,0.37446866980121724,1.5997725343858429,19479.2,21563.300000000003,22905.7,24313.5,26859.4,0.06715549474917787
2021-01-08,2021-01-15,41426.79235661241,16566.919305978598,3.904826226906066,18.85809041379089,27169.2,35395.1,40010.4,44727.100000000006,56000.0,-0.0994180753674157
2021-01-15,2021-01-22,37120.17322493993,11611.252064061497,4.215592525138864,26.46923348493171,26348.600000000002,31836.300000000003,35379.1,39376.0,51030.700000000004,-0.10908183809900789
2021-01-22,2021-01-29,33050.581038511606,4761.80667394236,0.11507697591742641,2.176418514797687,25590.2,30313.300000000003,32964.200000000004,35710.5,40812.0,0.038906131754175094
2021-02-05,2021-02-12,37987.52706012754,4959.243706044541,0.4753758535667436,1.5030240712974177,30468.4,34767.700000000004,37753.6,40862.4,46382.5,0.2110530712560365
2021-02-12,2021-02-19,47485.62506499307,7889.237991290614,-0.46293193509374064,1.5146810527551784,33428.200000000004,43200.100000000006,48341.5,52385.200000000004,58844.8,0.16742360424637878
2021-02-19,2021-02-26,56018.25325162486,8023.075551978917,0.24754124925551196,1.7668029903221845,43565.200000000004,51154.100000000006,55785.700000000004,60604.8,69300.6,-0.18902944069510824
2021-03-05,2021-03-12,48566.66313016362,6192.472245096413,0.049640467209501986,1.449625176441506,38642.5,44836.100000000006,48529.3,52259.4,58605.0,0.1601932728382199
2021-03-12,2021-03-19,57194.40601286902,7673.125824356973,0.3305470457445722,1.8800455523386281,45329.5,52511.0,56966.0,61542.9,69891.3,0.01402674393718959
2021-03-19,2021-03-26,58491.13087673708,6768.6884064927335,0.007838096585290898,1.7786113329058635,47706.5,54522.0,58440.600000000006,62444.0,69431.7,-0.05316194077321143
2021-04-09,2021-04-16,58498.500760129464,5272.679107627016,-0.30471228091683683,3.1139153208093164,50105.700000000004,55715.100000000006,58558.3,61433.100000000006,66705.6,0.05344979987149092
2021-04-16,2021-04-23,61749.092883387944,5273.265997860257,-0.5345791473251628,2.881752874172676,53024.8,58977.0,61968.700000000004,64850.600000000006,69705.1,-0.1820710289529174
2021-04-23,2021-04-30,50581.901973459935,5671.2468012707,0.29513664960312325,1.28146789542388,41732.5,46987.5,50413.700000000004,53937.200000000004,60043.600000000006,0.12088150907818782
2021-05-07,2021-05-14,57726.932616938546,5653.668531697809,-0.2713223030125108,2.3075822433702706,48565.0,54596.100000000006,57811.100000000006,61033.4,66576.6,-0.139711040543648
2021-05-14,2021-05-21,49842.81047268741,6477.316810833383,-0.6842227387547952,2.271044019767502,38526.6,46431.600000000006,50383.700000000004,53887.4,59233.4,-0.2911410640525768
2021-05-21,2021-05-28,36691.24829114605,6994.825759690499,-0.04591598487961449,1.2771846280902128,25225.600000000002,32517.100000000002,36765.6,40951.700000000004,47854.9,-0.04357842669466269
2021-06-04,2021-06-11,36860.53361915933,4872.702890540482,-0.5674045847314366,2.7608945511255145,28769.4,34302.8,37084.200000000004,39755.100000000006,44174.0,0.013564753660021592
2021-06-11,2021-06-18,37227.8142073665,4449.42054664185,-0.14462518744603217,2.0352853770416557,30040.600000000002,34706.8,37264.5,39826.9,44274.9,-0.04134840212568443
2021-06-18,2021-06-25,35496.463767952984,4231.890680023701,0.04882988616821288,1.4330653330782033,28675.600000000002,32948.700000000004,35494.200000000004,38021.700000000004,42331.3,-0.12583701897431543
2021-07-09,2021-07-16,33699.18823902857,3618.5212866275147,-0.4940044030579614,1.6512535554935246,27445.2,31671.100000000002,33946.6,35995.200000000004,39086.9,-0.074634377946052
2021-07-16,2021-07-23,31487.93143458616,3075.4305626079035,-0.25017068396265113,1.9354459933382788,26444.7,29745.300000000003,31553.600000000002,33329.8,36291.9,0.06924606930009812
2021-07-23,2021-07-30,33300.16855066996,3284.436509725138,-0.4219710039646768,1.564546155167326,27577.0,31474.300000000003,33538.3,35345.9,38205.1,0.22703102155709443
2021-08-06,2021-08-13,42759.72841542477,5280.3054615131,0.43178641217744873,1.5686669442713264,34825.6,39432.4,42425.5,45745.600000000006,51841.600000000006,0.10962645914541769
2021-08-13,2021-08-20,47663.056663208146,5824.120464500092,0.4829474857038018,1.0601171775467462,39103.1,43840.0,47117.5,51031.5,57977.0,0.03135411864771742
2021-08-20,2021-08-27,49336.25015837612,5845.165114125066,0.8847948360859159,3.299609693081507,41008.3,45781.0,48834.200000000004,52218.700000000004,59550.700000000004,-0.005133945950425964
2021-09-03,2021-09-10,49998.420418144844,5322.3760292353645,0.13198308733069622,1.6335469890489511,41594.9,46799.5,49906.8,53098.8,58716.100000000006,-0.10866192712618297
2021-09-10,2021-09-17,44764.390546056806,4765.908258691419,-0.08175675746533179,1.3039263464247224,36955.5,41901.200000000004,44837.200000000004,47688.0,52334.3,0.05316599451077556
2021-09-17,2021-09-24,47183.36834570438,4579.961495013306,0.03722084333161159,1.34141324696487,39828.100000000006,44399.3,47164.5,49945.5,54599.100000000006,-0.09972483795049063
2021-10-08,2021-10-15,54171.7022398841,5878.661735873198,-0.20927626903367444,1.7188746257804315,44477.9,50781.100000000006,54331.0,57730.200000000004,63333.5,0.13375263197862855
