日期,平均值 Mean,標準差 Std,偏度 Skewness,峰度 Kurtosis
2021/4/1,54572.4519,21069.2495,1.0108,1.3706
2021/4/2,57131.9372,22682.2415,1.4075,1.8905
2021/4/3,54634.7574,21786.1121,1.2976,1.8908
2021/4/4,51775.909,18572.6151,1.0839,1.2517
2021/4/5,57068.5165,21935.0128,1.5124,2.2287
2021/4/6,56485.2142,22444.8966,1.4369,1.8926
2021/4/7,54353.2407,21432.189,1.185,2.1064
2021/4/8,56158.1024,20681.2787,1.1602,1.8916
2021/4/9,56406.6946,21279.0161,1.5199,2.3726
2021/4/10,58235.7631,23125.0764,1.7284,2.9922
2021/4/11,58400.3557,22920.3371,1.6801,2.8902
2021/4/12,53508.2471,19815.9906,1.5093,1.9519
2021/4/13,61875.3567,24841.6036,1.5491,2.3506
2021/4/14,61048.3145,23205.6711,1.3211,2.4441
2021/4/15,61523.4099,21841.5508,1.4411,2.7642
2021/4/16,60010.3186,20767.2979,1.2317,2.6675
2021/4/17,59511.2711,19920.5062,1.1167,2.5737
2021/4/18,54906.9943,20343.4299,1.3245,2.1764
2021/4/19,54562.7788,19541.0141,1.1444,2.2493
2021/4/20,55438.2168,19252.6963,1.2616,2.0444
2021/4/21,52831.2577,18686.2787,1.4265,2.6758
2021/4/22,50653.0329,18070.3678,0.964,1.3097
2021/4/23,49776.4543,17580.3953,0.6233,1.1049
2021/4/24,48594.9815,18107.1944,0.6465,1.1187
2021/4/25,47470.3533,17383.0182,0.6864,1.0993
2021/4/26,51261.0282,16233.8834,0.1861,0.3172
2021/4/27,54258.5772,17139.7508,0.9341,2.5452
2021/4/28,54176.9431,17063.3953,0.8168,2.3864
2021/4/29,51052.8971,14321.8387,-0.0587,0.0178
2021/4/30,57327.7974,16368.6729,0.7748,2.3441
2021/5/1,57295.4702,16496.7535,0.8889,2.689
2021/5/2,56174.7055,16942.128,0.6025,1.9506
2021/5/3,56793.9277,17688.4778,0.7283,1.9903
2021/5/4,51714.2052,15822.6279,0.5137,1.4956
2021/5/5,56755.2737,17517.1971,0.7209,2.0888
2021/5/6,55958.9957,16715.7144,0.9026,2.5
2021/5/7,56725.2798,16948.8573,0.6629,2.0879
2021/5/8,58119.9839,17526.634,1.0292,2.4921
2021/5/9,57344.0159,17062.7075,0.7793,2.3379
2021/5/10,55255.046,17159.7472,0.8652,2.3325
2021/5/11,56154.5896,16743.8008,0.9734,2.491
2021/5/12,48592.4052,16176.0975,0.8908,1.9903
2021/5/13,49165.2013,14792.8391,0.9089,1.8527
2021/5/14,49430.9742,15670.8674,0.5411,1.47
2021/5/15,45580.2196,14655.2927,0.3536,0.7605
2021/5/16,45289.8369,13823.3427,0.4119,0.793
2021/5/17,42781.704,14988.9672,0.4027,0.3983
2021/5/18,42591.4213,14345.646,0.2399,0.703
2021/5/19,36900.7934,13012.5349,0.3293,0.4532
2021/5/20,40332.9807,13059.1062,0.1811,0.6379
2021/5/21,36577.2742,13913.2623,0.3007,0.3089
2021/5/22,37022.6783,13760.3114,0.1582,0.0573
2021/5/23,33780.3552,12712.779,0.3354,0.1213
2021/5/24,38391.8079,11962.7574,0.1857,0.8687
2021/5/25,37925.9706,11934.7561,0.3973,0.8343
2021/5/26,39106.5777,11236.5741,0.1664,0.7451
2021/5/27,38228.2211,10210.0954,0.057,1.3935
2021/5/28,35374.1093,10166.8785,0.2415,0.641
2021/5/29,34375.9691,10569.2109,0.14,0.6541
2021/5/30,35542.8003,10548.9126,0.0679,0.9564
2021/5/31,37193.877,9483.1535,0.0768,1.0354
2021/6/1,36519.0564,9146.2753,0.2039,1.2552
2021/6/2,37587.6372,9147.7107,0.1982,1.4673
2021/6/3,39012.758,8588.8601,0.1171,1.2492
2021/6/4,36894.7985,8843.2876,-0.0741,1.3637
2021/6/5,35398.9001,8471.1692,0.1258,0.8956
2021/6/6,35809.3213,8110.4654,0.0565,1.4468
2021/6/7,33478.8043,7801.8103,-0.2908,1.3544
2021/6/8,33387.2287,7438.9944,-0.0385,1.5328
2021/6/9,37248.4876,7565.19,0.4362,1.4807
2021/6/10,36673.2737,7185.3449,-0.1881,1.7868
2021/6/11,37148.1393,6675.9687,-0.2336,1.7551
2021/6/12,35523.939,6624.4735,-0.2861,2.1006
2021/6/13,38997.9382,6994.3522,-0.059,1.2977
2021/6/14,40194.3738,6291.0574,0.2956,0.8342
2021/6/15,40137.8761,5959.0011,-0.1393,1.4238
