變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Median + Fear and Greed Index + T-2 Return + T-3 Return + T-4 Return,-0.17256536061007813,0.11683913828361883,,6,0.07554311446704709,0.9166883402763735
Skewness + Median + Fear and Greed Index + T-3 Return + T-4 Return,-0.17178474335413943,0.11706172927374542,,5,0.07416112628864246,0.918058715108741
Skewness + Median + Fear and Greed Index + T-4 Return,-0.16930125956289904,0.12043337237959292,,4,0.07280452829240525,0.9194039131218167
Skewness + Median + Fear and Greed Index + T-2 Return + T-4 Return,-0.16958127831743408,0.12129798775655591,,5,0.07372668782879344,0.9184895028252301
Skewness + Median + Fear and Greed Index + VIX + T-2 Return + T-3 Return + T-4 Return,-0.1700951545569702,0.126236147896829,,7,0.0758563195301265,0.9163777671886142
Skewness + Median + Fear and Greed Index + T-3 Return,-0.16770582915938465,0.1264610830264858,,4,0.06222656398506854,0.9298929869727891
Skewness + Median + Fear and Greed Index + VIX + T-3 Return + T-4 Return,-0.1690683737567434,0.1269630549399459,,6,0.07454708303180857,0.9176760016995511
Skewness + Median + Fear and Greed Index + T-2 Return + T-3 Return,-0.1681293194145431,0.1271035547367721,,5,0.06285901871278554,0.9292658469906833
Skewness + Median + Fear and Greed Index,-0.1662177485198948,0.12773525826360976,,3,0.06167387964957771,0.9304410269020994
Skewness + Mean + Fear and Greed Index + T-2 Return + T-3 Return + T-4 Return,-0.1667748615611462,0.1278268874159911,,6,0.07538539796398835,0.916844731430667
Skewness + Mean + Fear and Greed Index + T-3 Return + T-4 Return,-0.16612234578954815,0.12784172979102887,,5,0.07401878675983642,0.918199858507053
Skewness + Median + Fear and Greed Index + T-2 Return,-0.16635848141561038,0.1290058969902079,,4,0.06212044021939622,0.9299982189421112
Skewness + Median + Fear and Greed Index + VIX + T-4 Return,-0.16638708905293667,0.130834482221709,,5,0.073276126036255,0.9189362783842178
Skewness + Mean + Fear and Greed Index + T-4 Return,-0.16373879051195825,0.1313375518931254,,4,0.07268576449326025,0.9195216789058428
Skewness + Median + Fear and Greed Index + VIX + T-2 Return + T-4 Return,-0.1668273396272698,0.13139720470744914,,6,0.07414464489620687,0.9180750580020804
Skewness + Mean + Fear and Greed Index + T-2 Return + T-4 Return,-0.16392926976019004,0.13241916433077192,,5,0.07359940845174973,0.9186157126276766
Skewness + Median + Fear and Greed Index + T-1 Return + T-3 Return + T-4 Return,-0.16425503627217833,0.13499213580368724,,6,0.08166023928591859,0.9106226198677446
Skewness + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.16425861864015723,0.13598968896535105,,7,0.08523508569031624,0.9070778141894341
Skewness + Mean + Fear and Greed Index + T-3 Return,-0.16215691407618385,0.1376766080400669,,4,0.06207038023801714,0.930047858251378
Skewness + Mean + Fear and Greed Index + VIX + T-2 Return + T-3 Return + T-4 Return,-0.16433732728664852,0.1377113986222886,,7,0.07569454400376607,0.9165381832567696
Skewness + Median + Fear and Greed Index + VIX + T-3 Return,-0.16438974258955094,0.13815899235099402,,5,0.06281631399528542,0.929308192845011
Skewness + Mean + Fear and Greed Index + VIX + T-3 Return + T-4 Return,-0.16343812614730094,0.13826607114000014,,6,0.07439987786862823,0.9178219698445534
Skewness + Mean + Fear and Greed Index + T-2 Return + T-3 Return,-0.16249669373867642,0.13849920197650364,,5,0.06269216802597377,0.9294312955708831
Skewness + Median + Fear and Greed Index + VIX + T-2 Return + T-3 Return,-0.16495239750754417,0.13853837438008815,,6,0.06339270355946702,0.9287366468906125
Skewness + Mean + Fear and Greed Index,-0.16073664665725726,0.13898139065606502,,3,0.061533056082371695,0.9305806670779844
