Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T Return,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
2021-01-22,2021-01-29,33050.581038511606,4761.80667394236,0.1150769759174264,2.176418514797687,25590.2,30313.300000000003,32964.200000000004,35710.5,40812.0,0.038906131754175,-0.1090818380990078,-0.0994180753674157,0.0671554947491778,-0.0228242392069786,40,24.88
2021-02-05,2021-02-12,37987.52706012754,4959.243706044541,0.4753758535667436,1.5030240712974177,30468.4,34767.700000000004,37753.6,40862.4,46382.5,0.2110530712560365,0.038906131754175,-0.1090818380990078,-0.0994180753674157,0.0671554947491778,81,24.1
2021-02-12,2021-02-19,47485.62506499307,7889.237991290614,-0.4629319350937406,1.5146810527551784,33428.200000000004,43200.100000000006,48341.5,52385.2,58844.8,0.1674236042463787,0.2110530712560365,0.038906131754175,-0.1090818380990078,-0.0994180753674157,92,21.36
2021-02-19,2021-02-26,56018.25325162486,8023.075551978917,0.2475412492555119,1.7668029903221845,43565.2,51154.100000000006,55785.7,60604.8,69300.6,-0.1890294406951082,0.1674236042463787,0.2110530712560365,0.038906131754175,-0.1090818380990078,93,24.8
2021-03-05,2021-03-12,48566.66313016362,6192.472245096413,0.0496404672095019,1.449625176441506,38642.5,44836.100000000006,48529.3,52259.4,58605.0,0.1601932728382199,-0.1890294406951082,0.1674236042463787,0.2110530712560365,0.038906131754175,77,25.05
2021-03-12,2021-03-19,57194.40601286902,7673.125824356973,0.3305470457445722,1.880045552338628,45329.5,52511.0,56966.0,61542.9,69891.3,0.0140267439371895,0.1601932728382199,-0.1890294406951082,0.1674236042463787,0.2110530712560365,70,21.98
2021-03-19,2021-03-26,58491.13087673708,6768.6884064927335,0.0078380965852908,1.7786113329058637,47706.5,54522.0,58440.600000000006,62444.0,69431.7,-0.0531619407732114,0.0140267439371895,0.1601932728382199,-0.1890294406951082,0.1674236042463787,71,23.32
2021-04-09,2021-04-16,58498.50076012946,5272.679107627016,-0.3047122809168368,3.1139153208093164,50105.7,55715.100000000006,58558.3,61433.100000000006,66705.6,0.0534497998714909,-0.0531619407732114,0.0140267439371895,0.1601932728382199,-0.1890294406951082,70,18.15
2021-04-16,2021-04-23,61749.09288338794,5273.265997860257,-0.5345791473251628,2.881752874172676,53024.8,58977.0,61968.7,64850.600000000006,69705.1,-0.1820710289529174,0.0534497998714909,-0.0531619407732114,0.0140267439371895,0.1601932728382199,78,17.0
2021-04-23,2021-04-30,50581.901973459935,5671.2468012707,0.2951366496031232,1.28146789542388,41732.5,46987.5,50413.7,53937.2,60043.600000000006,0.1208815090781878,-0.1820710289529174,0.0534497998714909,-0.0531619407732114,0.0140267439371895,55,20.43
