Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile
2020-03-26,2020-03-27,6573.494760531167,418.5090126663954,-0.01590522857935422,0.5873700912035078,5909.0,6378.200000000001,6651.700000000001,6908.5,7310.6
2020-06-25,2020-06-26,8761.825091751469,484.3514179028386,2.3240901320699945,-2.0468701087225503,7436.900000000001,9132.2,9282.1,9423.4,9630.4
2020-09-24,2020-09-25,10495.253461676024,416.75937071616676,1.0868437767796046,0.6538210247099596,9941.6,10335.2,10590.5,10855.0,11323.400000000001
2020-12-24,2020-12-25,22871.70447716565,1244.6612503574604,3.8219999240387215,4.056200380024254,19187.5,23209.800000000003,23746.4,24342.9,25687.2
2021-01-09,2021-01-10,34158.96451270847,6396.345240976499,1.111636471820274,-1.8031879963155881,36963.1,39521.3,41043.100000000006,42372.100000000006,48366.200000000004
2021-01-10,2021-01-11,30818.189933336806,6676.852997208087,1.0728359639811293,-2.0103790947223295,34343.0,36511.4,38161.5,39597.0,46908.5
2021-01-11,2021-01-12,33270.61770293628,2029.2457861007954,2.722593539120136,3.215930652533758,29108.600000000002,33663.3,34556.5,35564.0,37636.3
2021-01-12,2021-01-13,34360.20192767338,3428.0780831807033,0.49091672204729,1.824132822864665,28981.5,32066.7,34436.200000000004,36388.200000000004,39777.0
2021-01-13,2021-01-14,33817.111069122926,3461.598711338391,1.2478898357008374,-1.3252539052767818,34815.0,36330.8,37356.8,38500.5,40859.700000000004
2021-01-14,2021-01-15,38784.502845872055,2911.5639916005075,0.7365210048947246,2.173640576474181,34435.8,37051.700000000004,38711.5,40485.9,43899.600000000006
2021-01-15,2021-01-16,31384.46579061172,5650.546761421214,1.5811299168297652,0.46578871449831993,33339.4,34997.0,36364.1,37526.1,46798.9
2021-01-16,2021-01-17,34649.01513935791,2510.6304570852303,2.1706959035999907,3.438065377034463,31766.600000000002,35036.3,36070.200000000004,37208.4,39685.9
2021-01-17,2021-01-18,33431.16887921271,3025.410533526362,1.4021091654668425,0.5508452655474367,33185.8,34835.3,35791.1,36824.9,38870.8
2021-01-18,2021-01-19,34487.44718042653,2165.5798486279828,1.2320024476484064,-1.311479421079969,34089.6,35574.5,36466.5,37378.6,41183.4
2021-01-19,2021-01-20,36641.87719277615,2238.196719202072,0.5327876839876771,1.9956724109555166,33342.700000000004,35292.700000000004,36454.200000000004,37802.0,40614.200000000004
2021-01-20,2021-01-21,34864.87721589202,1416.8832187716962,0.18155078397596547,0.7788975985518829,32698.4,34197.6,35094.0,35965.6,37385.5
2021-01-21,2021-01-22,31354.940581941173,3183.7699353117837,-1.3417454470338563,5.094860961391273,25844.0,29927.4,31722.0,33316.6,35669.4
2021-01-22,2021-01-23,29924.392222844624,3294.008124961846,1.1964808474087905,-1.5165558599550528,27206.800000000003,32445.2,33291.200000000004,34091.4,35784.3
2021-01-23,2021-01-24,32080.736449382624,2262.869088278125,1.1438182927021223,13.459489833462364,28784.600000000002,31183.100000000002,32134.100000000002,32966.700000000004,34627.700000000004
2021-01-24,2021-01-25,31149.06821026124,2182.701129296687,2.6550650164740097,6.0311641206858635,28560.100000000002,31558.2,32266.300000000003,33123.0,35997.1
2021-01-25,2021-01-26,31539.25793858716,2234.8440000406836,2.0368809819588876,1.9458467407814686,29605.7,31993.600000000002,32693.0,33587.0,36680.3
2021-01-26,2021-01-27,32989.88953143417,2133.862462654452,4.147748316548448,30.065738336039317,30914.7,31961.300000000003,32656.600000000002,33443.4,35939.9
2021-01-27,2021-01-28,29764.193369219174,3717.133275804461,-2.128193691350132,7.380097834700351,27000.0,29187.9,30528.9,31735.800000000003,33805.700000000004
2021-01-28,2021-01-29,32925.20257091362,2196.9090334172183,0.4305983946222655,1.2134589808987215,29592.100000000002,31528.800000000003,32828.700000000004,34210.4,36716.8
2021-01-29,2021-01-30,33835.051996212926,1824.7635923721418,1.5532177877013509,4.3516750287489225,31485.9,32875.3,33859.8,34955.5,37270.1
2021-01-30,2021-01-31,34118.84297004243,1890.9121397492274,-0.04308771002311794,1.2054975545916475,31026.4,32970.1,34143.0,35281.5,37137.0
2021-02-09,2021-02-10,43739.844204815876,3686.9455270461435,0.6414704110777193,-0.8570084323480591,38307.200000000004,45264.5,46680.200000000004,48136.100000000006,52009.100000000006
2021-02-10,2021-02-11,45252.74860584592,3196.418403904306,1.8951074937107875,9.706033672132406,41595.8,43649.5,44812.700000000004,46178.3,51224.0
2021-02-11,2021-02-12,47159.203926689705,2835.0712923437286,-1.467577638084194,7.4622334656922735,42906.5,46655.600000000006,48154.9,49459.200000000004,51344.8
2021-02-12,2021-02-13,44955.48726766676,3696.740269246758,0.17396526877380586,-0.3902224540756447,40659.700000000004,46838.4,48246.600000000006,49385.200000000004,53781.9
2021-02-13,2021-02-14,47737.52116680553,3018.2865512161998,1.8593976325161958,13.240412222235854,43810.600000000006,46285.4,47573.5,48859.8,51927.9
2021-02-14,2021-02-15,42356.1957986054,5941.914657926904,1.1577424578384516,-1.6118740443838546,45591.4,47752.700000000004,48967.9,50200.8,51836.3
2021-02-15,2021-02-16,47915.03187877929,3448.706759115108,-1.307986976637588,6.765446199510496,42000.0,46816.3,48163.700000000004,49551.5,52437.8
2021-02-16,2021-02-17,49026.11856396052,3148.383411563355,0.2936023828782674,0.6139466790461854,44365.8,46979.700000000004,48688.8,50927.3,54606.700000000004
2021-02-17,2021-02-18,52114.052844366626,2441.351746760438,0.6962472216658929,2.5362742508638654,48637.600000000006,50650.4,51872.700000000004,53313.5,56509.0
2021-02-18,2021-02-19,52219.48695965816,2688.4738531619582,-0.5246718989895545,2.7019819678639205,47752.3,50795.8,52328.0,53809.3,56302.600000000006
2021-02-19,2021-02-20,55890.5273447064,2851.3530614426095,-1.8665558810869056,7.31928854059875,51005.8,54560.100000000006,56333.8,57895.0,59252.3
2021-02-20,2021-02-21,56211.79389696408,3359.224515823113,-0.131074801296134,0.7202253388305899,50724.0,54351.3,56144.5,57724.5,62000.0
2021-02-21,2021-02-22,58077.753777638296,2738.9239461890975,0.160964862901129,-0.36752751417110074,53988.8,56142.4,57689.5,60188.9,62695.0
2021-02-22,2021-02-23,54339.81281738652,3570.9468041962805,1.0919381685320266,2.1224415738884774,49408.8,52220.200000000004,54036.5,55773.200000000004,63459.9
2021-02-23,2021-02-24,45693.08034807232,5229.825620239477,2.7238379800507695,8.846678801898365,44962.700000000004,47134.700000000004,48451.100000000006,49997.0,56586.3
2021-02-24,2021-02-25,49511.834970667835,3007.865102958936,-0.6504404007864935,3.273094029862337,44187.5,48095.600000000006,49789.700000000004,51228.200000000004,53741.9
2021-02-25,2021-02-26,46152.06007720708,1972.4008447485126,16.992527015595634,-46.5679627488568,32137.9,46219.8,47949.5,49599.100000000006,52328.4
2021-02-26,2021-02-27,45986.029699498125,2541.8662717601687,0.49186803670963736,0.9271801100386825,42106.700000000004,44221.3,45897.0,47535.4,50295.700000000004
