日期,平均值 Mean,標準差 Std,偏度 Skewness,峰度 Kurtosis
2022-10-09,19267.6949,5949.4323,0.3355,1.0858
2022-10-10,18877.3744,5831.9701,0.2797,0.7068
2022-10-11,18569.8987,5671.7183,0.1249,0.3663
2022-10-12,18879.9653,5761.5556,0.2680,0.7064
2022-10-13,19089.7693,5518.2232,0.2573,0.7171
2022-10-14,19098.5733,5406.6469,0.3357,1.3995
2022-10-15,19023.6562,5395.1617,0.3376,1.4347
2022-10-16,19182.1912,5314.7813,0.2405,1.1811
2022-10-17,19476.8942,5260.9837,0.2434,1.2659
2022-10-18,19259.4491,5204.1594,0.2529,1.3906
2022-10-19,19060.3839,5103.3665,0.1603,1.4018
2022-10-20,18838.5155,5029.0942,0.0468,1.0930
2022-10-21,19151.7830,5028.6193,0.2781,1.4628
2022-10-22,19152.2779,5048.6855,0.1330,1.2705
2022-10-23,19482.8354,5101.1184,0.1492,1.2330
2022-10-24,19200.7084,5050.1569,0.1063,1.1785
2022-10-25,20044.4445,5511.6663,0.2484,1.4830
2022-10-26,20735.1864,5555.6369,0.3535,1.8014
2022-10-27,20228.8756,5239.9479,0.3732,2.0239
2022-10-28,20573.9060,4934.6421,0.3290,1.9734
2022-10-29,20799.2321,5064.8166,0.3742,1.7668
2022-10-30,20595.9966,5187.5634,0.4538,1.9264
2022-10-31,20468.2873,4909.2306,0.5880,2.0138
2022-11-01,20475.6675,4897.4151,0.4974,2.1557
2022-11-02,20136.9566,4525.0697,0.2884,1.7738
2022-11-03,20173.5045,4310.8100,-0.0154,1.6613
2022-11-04,21114.6411,4511.1018,0.3278,1.5735
2022-11-05,21257.3233,4537.3913,0.1826,1.9106
2022-11-06,20872.1572,4523.0532,0.0238,2.1230
2022-11-07,20579.6521,4476.4132,0.2024,1.7929
2022-11-08,18496.5332,4732.8268,0.0865,1.2978
2022-11-09,15765.5444,4983.5714,0.2229,0.7071
2022-11-10,17484.9088,4893.4581,-0.0486,0.7750
2022-11-11,16845.6953,4701.2848,0.2473,0.7695
2022-11-12,16675.1068,4720.7746,-0.0861,1.0688
2022-11-13,16213.7684,4671.4536,-0.3244,0.9514
2022-11-14,16519.6989,4227.9464,0.2307,0.8870
2022-11-15,16767.4529,4265.7221,0.0634,0.9660
2022-11-16,16575.8159,4443.2687,0.0449,0.9905
2022-11-17,16589.3579,3974.6514,0.0157,1.0722
2022-11-18,16589.3545,3904.0666,-0.0348,1.1566
2022-11-19,16635.5994,3618.4448,-0.2398,1.2442
2022-11-20,16188.4285,3883.5873,-0.5495,1.2591
2022-11-21,15691.6096,3786.5887,-0.2039,1.2105
2022-11-22,16089.3272,3717.7202,-0.1375,1.2733
2022-11-23,16510.1803,3555.6831,-0.1556,1.0504
2022-11-24,16543.9864,3472.5861,-0.1490,1.4146
2022-11-25,16499.8114,3141.5862,-0.0012,1.4065
2022-11-26,16422.6084,3078.6382,-0.2668,1.7798
2022-11-27,16382.7289,3193.4304,-0.5652,2.5336
2022-11-28,16187.1640,2932.8412,-0.2577,1.7047
2022-11-29,16422.0511,2865.7653,-0.3148,1.8515
2022-11-30,17147.8574,2920.6292,-0.1521,1.3895
2022-12-01,16950.9430,2699.8351,-0.5241,2.0238
2022-12-02,17041.9502,2479.6457,-0.0477,1.0870
2022-12-03,16908.1362,2382.9390,-0.2629,1.5300
2022-12-04,17104.7178,2416.3878,-0.2216,1.8616
2022-12-05,16954.6691,2371.0657,-0.4328,2.4019
2022-12-06,17054.2652,2333.9378,-0.1785,1.2454
2022-12-07,16812.1896,2408.7403,-0.2532,1.3586
2022-12-08,17178.1274,2144.5929,-0.6559,2.7612
2022-12-09,17103.2627,2226.8506,-0.2080,1.5726
2022-12-10,17050.3475,2147.1838,-0.7150,2.7825
2022-12-11,17100.1184,2331.8835,-0.0073,1.3954
