變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Median + Fear and Greed Index + T-2 Return + T-3 Return + T-4 Return,-0.17233388356005305,0.11731366031483444,,6,0.0754903443294408,0.9167406669674452
Skewness + Median + Fear and Greed Index + T-3 Return + T-4 Return,-0.17152824484965182,0.1175895270890198,,5,0.07410300279853121,0.9181163501661624
Skewness + Median + Fear and Greed Index + T-4 Return,-0.16904039553099884,0.1209838205884365,,4,0.07274621928172997,0.9194617321408053
Skewness + Median + Fear and Greed Index + T-2 Return + T-4 Return,-0.16933932739672022,0.1218086908555232,,5,0.0736725822500518,0.9185431537352429
Skewness + Median + Fear and Greed Index + VIX + T-2 Return + T-3 Return + T-4 Return,-0.16985983592493162,0.12676931546283424,,7,0.07580143046597143,0.9164321950001292
Skewness + Median + Fear and Greed Index + T-3 Return,-0.16738656287572842,0.127159769863601,,4,0.062155694263111516,0.9299632611508644
Skewness + Median + Fear and Greed Index + VIX + T-3 Return + T-4 Return,-0.16880640713431028,0.1275563616775445,,6,0.07448686547488315,0.9177357132265864
Skewness + Median + Fear and Greed Index + T-2 Return + T-3 Return,-0.16782539170654423,0.12776940644010587,,5,0.06279129737744349,0.9293329992391737
Skewness + Mean + Fear and Greed Index + T-2 Return + T-3 Return + T-4 Return,-0.16654769518407825,0.12833259057266305,,6,0.07533400814356239,0.9168956894038628
Skewness + Mean + Fear and Greed Index + T-3 Return + T-4 Return,-0.16587074960252107,0.12840325142003545,,5,0.07396224482847902,0.9182559252961301
Skewness + Median + Fear and Greed Index,-0.1658979063667996,0.12844401288593804,,3,0.06160336655093046,0.9305109474536993
Skewness + Median + Fear and Greed Index + T-2 Return,-0.16605072803076826,0.12968994584355542,,4,0.062052561354950186,0.9300655273959318
Skewness + Median + Fear and Greed Index + VIX + T-4 Return,-0.16611917098508397,0.13145601235038945,,5,0.07321558187147537,0.9189963137745034
Skewness + Mean + Fear and Greed Index + T-4 Return,-0.16348280120036351,0.1319225629840072,,4,0.07262901271020938,0.9195779537831538
Skewness + Median + Fear and Greed Index + VIX + T-2 Return + T-4 Return,-0.16657928617653564,0.1319743067686284,,6,0.07408823715800228,0.9181309917256785
Skewness + Mean + Fear and Greed Index + T-2 Return + T-4 Return,-0.1636917485332626,0.13296245289353234,,5,0.07354670300443988,0.9186679751720681
Skewness + Median + Fear and Greed Index + T-1 Return + T-3 Return + T-4 Return,-0.1640366011012925,0.13547754827840033,,6,0.08161455697421571,0.9106679182944754
Skewness + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.16408691588831895,0.13636393388881443,,7,0.08519995919155854,0.9071126455075302
Skewness + Mean + Fear and Greed Index + VIX + T-2 Return + T-3 Return + T-4 Return,-0.16410606492091465,0.13827784465686543,,7,0.07564114142712075,0.9165911370722669
Skewness + Mean + Fear and Greed Index + T-3 Return,-0.16184315931207832,0.13841803574503667,,4,0.06200154410116987,0.9301161159332938
Skewness + Mean + Fear and Greed Index + VIX + T-3 Return + T-4 Return,-0.16318085645244026,0.13889537913341965,,6,0.07434134963420347,0.9178800062450755
Skewness + Median + Fear and Greed Index + VIX + T-3 Return,-0.16406111232365356,0.13894650641057338,,5,0.06274335906580053,0.9293805347078616
Skewness + Mean + Fear and Greed Index + T-2 Return + T-3 Return,-0.16219782572016508,0.13920644291764434,,5,0.06262636100319818,0.9294965495934674
Skewness + Median + Fear and Greed Index + VIX + T-2 Return + T-3 Return,-0.16463984717340477,0.13928904584906646,,6,0.06332278567428296,0.928805977230543
Skewness + Mean + Fear and Greed Index,-0.16042222794554403,0.13973326109598527,,3,0.06146453898781512,0.930648608398637
Skewness + Median + Fear and Greed Index + T-1 Return + T-4 Return,-0.16137345536472303,0.14015599837455023,,5,0.07936031567682988,0.9129032163876815
