Variable,VIF
const,1.1482006090519896
Mean,1.8309735775307183
Std,1.365614079045458
Skewness,1.1227086184342354
Kurtosis,1.015124486686357
Fear and Greed Index,1.6026691572217715
T-1 Return,1.047494287638271
T-2 Return,1.04466266398226
T-3 Return,1.0537519988286528
T-4 Return,1.0346401526229598
