變數組合,Kurtosis_係數,Kurtosis_p值,Kurtosis_顯著性,變數數量,R平方,MSE
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.23659172888921934,0.024655446449373987,**,8,0.10965645462412077,0.8828616668433088
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.22215533209194194,0.024833827930818966,**,7,0.10822494496053003,0.8842811470139282
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.23143312650329015,0.027412257382658584,**,8,0.10920756320478231,0.883306786065846
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.21737274357831524,0.027603860133278275,**,7,0.1078335342242932,0.8846692685843144
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-3 Return + T-4 Return,-0.21003992956270331,0.03212121618664613,**,6,0.10087576522242747,0.8915685689391055
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-3 Return + T-4 Return,-0.22057340762937938,0.03370985924348168,**,7,0.10170826982732373,0.8907430601712253
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-4 Return,-0.20674568277813354,0.03390711811585157,**,6,0.10091446291470396,0.8915301964375206
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-3 Return + T-4 Return,-0.20568139843292887,0.03533315114463001,**,6,0.1006094855026447,0.8918326110141841
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-4 Return,-0.216448430340431,0.03580303721672795,**,7,0.1016536071040105,0.8907972635439224
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return + T-3 Return + T-4 Return,-0.21593708135916467,0.03704067353781431,**,7,0.10140617303285926,0.8910426183371647
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-2 Return + T-4 Return,-0.20236873377252612,0.037311226285435116,**,6,0.1006637734307605,0.8917787792871451
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-4 Return,-0.1996067563895985,0.03913604203536733,**,5,0.09621462408823289,0.8961905408200715
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-4 Return,-0.21180873673053646,0.039344357720132304,**,7,0.10137024487537494,0.8910782445773593
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return,-0.20127455190410615,0.04144765020661441,**,6,0.08633985193190086,0.905982331697779
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-4 Return,-0.20719424991753502,0.042546401481628915,**,6,0.09669058178652246,0.8957185827663054
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-4 Return,-0.1954923252079042,0.04279992525327119,**,5,0.09603427579750434,0.8963693735789453
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return,-0.20996663279489855,0.04482482196415703,**,7,0.08690218340529376,0.9054247256989525
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return,-0.19684530478457513,0.04546725449344938,**,6,0.08605628063236559,0.9062635200452174
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return + T-4 Return,-0.202864499101243,0.04644117029780673,**,6,0.09648729883795226,0.8959201574548037
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-3 Return,-0.1935354871259242,0.04784669791790986,**,5,0.08226089012411975,0.9100270165155788
Kurtosis + Median + Fear and Greed Index + T-1 Return + T-2 Return,-0.19177834773564092,0.04882471619694992,**,5,0.08271350251444476,0.9095782075907185
Kurtosis + Mean + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.2998409468591918,0.04882720862686343,**,9,0.1124179129166597,0.8801234140826399
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return,-0.20524574705861404,0.049101986554993225,**,7,0.08658721498585975,0.9057370473249458
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-3 Return,-0.18940114963343027,0.05215719487602967,*,5,0.0820576622849244,0.9102285365578061
Kurtosis + Median + Fear and Greed Index + T-1 Return,-0.18692668297361842,0.05314667921899351,*,4,0.07991030945407651,0.9123578444068821
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-3 Return,-0.19989489113067413,0.05322630331367613,*,6,0.08258300151743125,0.9097076119406985
Kurtosis + Mean + Fear and Greed Index + T-1 Return + T-2 Return,-0.1876219294470515,0.05325857431846625,*,5,0.08251650043395287,0.9097735541915425
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return,-0.19775900439608793,0.05433099850861411,*,6,0.08300925068713794,0.9092849446967878
Kurtosis + Mean + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.27324120357084336,0.05471829338131172,*,8,0.11029444347312678,0.882229039245135
Kurtosis + Mean + Fear and Greed Index + T-1 Return,-0.1829650472028571,0.057741249280546185,*,4,0.07976260461893359,0.912504308024923
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return + T-3 Return,-0.19553002284960008,0.057902470555957805,*,6,0.082359512928187,0.9099292224745709
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return + T-2 Return,-0.19338177083873462,0.05913472603873743,*,6,0.08279332420926222,0.9094990566664459
Kurtosis + Median + Fear and Greed Index + VIX + T-1 Return,-0.1915301443185124,0.06014632271354862,*,5,0.08009294335641792,0.9121767452432158
Kurtosis + Median + Fear and Greed Index + T-2 Return + T-3 Return + T-4 Return,-0.17888128875731937,0.0631610699853973,*,6,0.08374088155412829,0.9085594619883435
Kurtosis + Std + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.27412380542181264,0.06350611548101387,*,8,0.1100795728087055,0.8824421042737205
Kurtosis + Std + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.275026595103367,0.0638181471436275,*,9,0.11078258848123301,0.8817449962959203
Kurtosis + Mean + Fear and Greed Index + VIX + T-1 Return,-0.18738025116107196,0.06518344593851909,*,5,0.07993192410975725,0.9123364113869634
Kurtosis + Mean + Std + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.3240782352248047,0.0658418274058565,*,10,0.11305516830386875,0.8794915137827184
Kurtosis + Median + Fear and Greed Index + T-3 Return + T-4 Return,-0.175630341933897,0.06651325186515177,*,5,0.08162655492460302,0.9106560211672003
Kurtosis + Mean + Std + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.26788408620239684,0.0668302877431671,*,8,0.10964623557158704,0.8828718000214515
Kurtosis + Mean + Std + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.2687373858496166,0.06718487985829019,*,9,0.11030788203462494,0.8822157136127248
Kurtosis + Median + Fear and Greed Index + VIX + T-2 Return + T-3 Return + T-4 Return,-0.185899632390117,0.06786202420948007,*,7,0.08414683377607335,0.9081569211296077
Kurtosis + Mean + Fear and Greed Index + T-2 Return + T-3 Return + T-4 Return,-0.17507835794626528,0.06830152491906323,*,6,0.08367901007895306,0.9086208135351557
Kurtosis + Std + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return,-0.2710274319955817,0.06830222261406563,*,7,0.08963699500612432,0.902712895708213
Kurtosis + Mean + Skewness + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.28612697439792606,0.06869585286485115,*,10,0.11353275923787798,0.8790179362179025
Kurtosis + Std + Median + Fear and Greed Index + T-1 Return + T-3 Return + T-4 Return,-0.2678356143047614,0.06922496644308115,*,7,0.1031473709276759,0.8893160523574306
Kurtosis + Std + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-3 Return,-0.2712791137926859,0.06934897543066929,*,8,0.0897028328342403,0.9026476111391568
Kurtosis + Std + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-4 Return,-0.267350810174033,0.0696245831758964,*,7,0.10339314537146782,0.8890723432450991
Kurtosis + Mean + Std + Median + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return + T-4 Return,-0.3152080572838958,0.07002648651266667,*,9,0.1117697054239013,0.8807661744536105
Kurtosis + Std + Median + Fear and Greed Index + VIX + T-1 Return + T-3 Return + T-4 Return,-0.2682296895831933,0.07008132205976782,*,8,0.10340592501799528,0.8890596709905592
Kurtosis + Std + Median + Fear and Greed Index + VIX + T-1 Return + T-2 Return + T-4 Return,-0.26764785863106877,0.07058541280222322,*,8,0.10358833127166645,0.888878797562549
Kurtosis + Median + Fear and Greed Index + T-2 Return + T-4 Return,-0.1720486621142803,0.07091968557072412,*,5,0.08078952336735912,0.9114860188458119
Kurtosis + Mean + Std + Fear and Greed Index + T-1 Return + T-2 Return + T-3 Return,-0.26506656665824846,0.0715342778539699,*,7,0.08931898057624466,0.9030282377479255
Kurtosis + Mean + Fear and Greed Index + T-3 Return + T-4 Return,-0.17196309229441323,0.07173702704888388,*,5,0.08159528679445194,0.9106870265399553
Kurtosis + Std + Median + Fear and Greed Index + T-1 Return + T-2 Return,-0.2664992583241733,0.07183711589691161,*,6,0.0864503598376194,0.9058727524299238
