expiration_date,observation_date,mean,std,skewness,kurtosis,quantiles
2020-09-25,2020-09-24,5029.298802063054,7016.6824694741845,2.2506619536722607,2.456890312406493,"{0.05: np.float64(16000.0), 0.25: np.float64(16000.0), 0.5: np.float64(16000.0), 0.75: np.float64(16000.0), 0.95: np.float64(22401.7)}"
2020-12-25,2020-12-24,22385.015175268392,13973.230646006214,1.6366805681286085,2.7562046118141277,"{0.05: np.float64(16000.0), 0.25: np.float64(16000.0), 0.5: np.float64(19645.0), 0.75: np.float64(27015.2), 0.95: np.float64(55455.100000000006)}"
2021-01-10,2021-01-09,37321.036675727,30531.905621903734,2.1109465841819612,3.908797368664483,"{0.05: np.float64(16000.0), 0.25: np.float64(19056.5), 0.5: np.float64(31364.800000000003), 0.75: np.float64(46907.8), 0.95: np.float64(105599.8)}"
2021-01-11,2021-01-10,34890.88470093095,25228.786688685122,1.7434968204487908,3.2232850848101258,"{0.05: np.float64(16000.0), 0.25: np.float64(16647.8), 0.5: np.float64(29920.7), 0.75: np.float64(47054.600000000006), 0.95: np.float64(92038.6)}"
2021-01-12,2021-01-11,32516.29810399907,22520.931653068852,1.7307966241428088,3.4250774467791993,"{0.05: np.float64(16000.0), 0.25: np.float64(17353.3), 0.5: np.float64(27332.4), 0.75: np.float64(41377.9), 0.95: np.float64(82915.8)}"
2021-01-13,2021-01-12,31510.956298420388,24447.89631105727,2.0218080852632787,4.1240899473045625,"{0.05: np.float64(16000.0), 0.25: np.float64(16000.0), 0.5: np.float64(26409.7), 0.75: np.float64(40546.0), 0.95: np.float64(91763.0)}"
2021-01-14,2021-01-13,34570.523294163555,26341.099852764877,1.9383789514697385,3.700046824950003,"{0.05: np.float64(16000.0), 0.25: np.float64(17044.8), 0.5: np.float64(28857.600000000002), 0.75: np.float64(43754.8), 0.95: np.float64(100751.5)}"
2021-01-15,2021-01-14,28936.77189498996,21739.966037803693,2.683961220920075,9.77493692663117,"{0.05: np.float64(16000.0), 0.25: np.float64(16000.0), 0.5: np.float64(29560.0), 0.75: np.float64(46255.4), 0.95: np.float64(119999.8)}"
2021-01-16,2021-01-15,23833.698792811607,13973.018007585157,1.2094656684836504,0.3937704927594541,"{0.05: np.float64(16000.0), 0.25: np.float64(16008.400000000001), 0.5: np.float64(27861.0), 0.75: np.float64(42181.5), 0.95: np.float64(69288.5)}"
2021-01-17,2021-01-16,23256.074061632844,14867.144150612632,1.4025172653929745,0.8505375860670563,"{0.05: np.float64(16000.0), 0.25: np.float64(16000.0), 0.5: np.float64(26968.300000000003), 0.75: np.float64(42797.5), 0.95: np.float64(76201.7)}"
