Variable,Coefficient,Std Error,T-Stat,P-Value,Significance
const,1.929879867024198e-17,0.03464056484098128,5.571155885833209e-16,0.9999999999999996,
Kurtosis,0.055115800778693054,0.03472934876149505,1.5870093377564503,0.11289509943849953,
Median,-0.07200234582594962,0.03473692702375743,-2.07278973689024,0.03850297613800441,**
T-4 Return,0.06343323718239599,0.03467356482926104,1.8294408865876015,0.06769567474609933,*
