Variable,Coefficient,Std Error,T-Stat,P-Value,Significance
const,-2.949029909160572e-17,0.034806213003173346,-8.472711205013035e-16,0.9999999999999993,
Skewness,-0.0182570938067863,0.035895313677928704,-0.5086205394553277,0.6111550408059292,
Kurtosis,0.03213776293742343,0.03585337469586354,0.8963664706611625,0.3703201362875145,
T-4 Return,0.05988434278076721,0.03487054933994208,1.717332933214601,0.08629593537723239,*
