Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,-0.03679205447978571,0.29295542858282875,,-0.07785155670801719,0.02623595252312256,**,0.006831601297593304,0.9919630972476708
Std,-0.02707815714846881,0.441425695517503,,-0.014307570078853363,0.68415939369072,,0.0010349863490616285,0.9977526774693234
Kurtosis,-0.021236095255300312,0.554279947992277,,0.0321412071391394,0.3708356178171176,,0.0018082682513630433,0.996980334015932
Median,-0.03454083773954593,0.32235681883548317,,-0.0761213070822976,0.02937315432783417,**,0.00659578922446058,0.9921986231411029
Fear and Greed Index,-0.028589799305960208,0.41328892564906383,,-0.005663542743955389,0.8712283049148051,,0.0008654884508573213,0.9979219696661947
VIX,-0.029483614594439243,0.40053936438062765,,0.006257399911883463,0.8583678232165215,,0.0008722702261929616,0.9979151961211689
T-1 Return,-0.03663550976567493,0.3018045629045195,,-0.0423171393639437,0.2330344705118977,,0.0025639324263823093,0.9962255869090867
T-2 Return,-0.027268758029640155,0.43520769687289196,,0.028068686641302163,0.42186330994430254,,0.0016187777778716717,0.9971695945252568
T-3 Return,-0.02878095537354969,0.4095972185263139,,0.01061143948914076,0.7610649679362121,,0.0009460860618855094,0.9978414698678012
T-4 Return,-0.025890344395042158,0.4579610566279796,,0.059886091211504025,0.08624876169010061,*,0.004410955465307009,0.9943808054029757
