Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,T-4 Return_Coef,T-4 Return_p,T-4 Return_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,-0.027066052259632246,0.45271641903441406,,0.02801665876635361,0.4342940650896101,,0.06155121062690844,0.07727240125148502,*,-0.07776562419537825,0.0264790152500784,**,0.011351603030117063,0.9874485809541425
Std,-0.0163008569667766,0.6527927738082087,,0.032709070214907716,0.36247217842902946,,0.05966412955961588,0.08765241030098277,*,-0.014622162998631796,0.6775351299434997,,0.005595620353074704,0.993197578215315
Median,-0.025029251259465354,0.48649828619596813,,0.027028180390885878,0.4511195563147907,,0.06143948956572942,0.0778496219204334,*,-0.07565589848968485,0.03060038146744861,**,0.011050528265145632,0.9877492903371178
Fear and Greed Index,-0.017729167198266373,0.6219796330766364,,0.0313496745961542,0.3833137030831606,,0.06168885703371168,0.08050521088147844,*,-0.012627960112549588,0.7207636928283236,,0.005540763677168603,0.9932523683175852
VIX,-0.01919284940443267,0.5954432244219784,,0.03151202482551255,0.38126971725966086,,0.060476327671179234,0.08420855743737182,*,0.008330645736690085,0.8129783859774704,,0.00545353727207154,0.9933394888653946
T-1 Return,-0.026418879816875743,0.4710189192875164,,0.028340080063465778,0.4315161319439994,,0.05980944716542243,0.08664511281453431,*,-0.03954210800551052,0.2668018838499015,,0.006882837290734911,0.9919119234341325
T-2 Return,-0.01675061378986239,0.6414598638602481,,0.03221352317214281,0.36931729113391576,,0.05921623001140347,0.09003708414599068,*,0.02667072542203089,0.445019541314312,,0.006094084677157885,0.9926997188236637
T-3 Return,-0.01804165771466938,0.6155918483812927,,0.03245420322203631,0.36599982739168124,,0.06040138593233499,0.08400380632874406,*,0.013612267803420952,0.6964508900725357,,0.005570442964943689,0.9932227250483634
