Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,Std_Coef,Std_p,Std_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,-0.03567920883175117,0.33343246385471437,,0.026142026704504433,0.4675603813125474,,0.029835348667821532,0.4607933402212726,,-0.09121071649658169,0.02404853941834328,**,0.008233523852465785,0.9905628760551222
Median,-0.035279241591546356,0.3382734512931015,,0.024078762118705865,0.5043704594067253,,0.03937547206947546,0.35544662646750047,,-0.09660080466377566,0.023059976728819813,**,0.008321794973590313,0.9904747120591443
Fear and Greed Index,-0.019145479267917424,0.5975007471914761,,0.03277837570622924,0.36361415925952845,,-0.015646440612680203,0.6688196889541687,,0.00041434237354755557,0.9909108160156294,,0.0020456017862441334,0.9967432885071861
VIX,-0.019524618771326926,0.5929363087806806,,0.032511722741296004,0.3676012465170925,,-0.015349346980103358,0.6635741127491459,,0.0030514492654571844,0.9310083790936454,,0.002054582316102449,0.9967343188760286
T-1 Return,-0.027283837015246216,0.46030764007766456,,0.028937715994790843,0.42293752765420733,,-0.016478317342804617,0.6397454731185561,,-0.04005875264634644,0.2615336530985374,,0.0035812693850577615,0.9952094845826425
T-2 Return,-0.0175880490258398,0.6280010039126627,,0.03281156142169635,0.36164008588187657,,-0.015127392189133509,0.6674855829580681,,0.027938127199376685,0.4243607404289732,,0.0028232730089357005,0.99596656106025
T-3 Return,-0.01914446187066124,0.5975020135673386,,0.03293799318432852,0.36004162574421994,,-0.014525556659791636,0.6815950426849496,,0.009861372124419733,0.7787977094869089,,0.0021416339693961506,0.9966473728679451
T-4 Return,-0.01630085696677666,0.6527927738082078,,0.03270907021490771,0.3624721784290297,,-0.014622162998631855,0.6775351299434986,,0.05966412955961587,0.08765241030098286,*,0.005595620353074704,0.993197578215315
