Variable,Coefficient,Std Error,T-Stat,P-Value,Significance
const,-2.949029909160572e-17,0.03471721756537981,-8.494430475618992e-16,0.9999999999999993,
Kurtosis,0.03305713235148875,0.03477810723108486,0.9505155680796252,0.34213041161218216,
Median,-0.07354101928912894,0.03478584980865197,-2.114107307817955,0.034807418128324906,**
T-4 Return,0.06256215550024627,0.03475142500477645,1.8002759740542247,0.07218448053185757,*
