Variable,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,Median_Coef,Median_p,Median_Sig,T-4 Return_Coef,T-4 Return_p,T-4 Return_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,0.03529432160715311,0.31586674851816665,,0.03859239139073495,0.8812184282933215,,0.06281139790986941,0.07123597416774932,*,-0.11308976675369681,0.66128300816966,,0.010697303619334297,0.9881020863122423
Std,0.031948242350432435,0.3590274170202403,,-0.09210179592763715,0.02715748450191515,**,0.06374289697401032,0.06727344606205696,*,0.03379500234884254,0.41645172662420116,,0.011263210975569149,0.9875368657367797
Skewness,0.027028180390885906,0.4511195563147905,,-0.07565589848968485,0.030600381467448517,**,0.06143948956572941,0.07784962192043335,*,-0.025029251259465323,0.48649828619596835,,0.011050528265145632,0.9877492903371181
Fear and Greed Index,0.03498483518429762,0.31553859461146555,,-0.0964542658208579,0.021921911132399722,**,0.05730375106425058,0.103628659723826,,0.0413357769342563,0.33082695321771116,,0.011607851539582659,0.9871926434258779
VIX,0.033782609199503884,0.33212272570087953,,-0.08146826224699565,0.02876326316123234,**,0.06103843104629285,0.08029466236746599,*,-0.022532242040614558,0.5458551879279779,,0.010906172690876903,0.987893470722583
T-1 Return,0.03157272940683253,0.3647760135088649,,-0.0726413831725071,0.03717244054154137,**,0.06279231286512316,0.07117511117621475,*,-0.03237967085902792,0.3523308854092251,,0.01151050047419433,0.9872898763467696
T-2 Return,0.0327308062729014,0.34703741809579514,,-0.07402771470643563,0.03368598157602911,**,0.06177609415743961,0.07599608310669706,*,0.028810441828473237,0.4075083049975824,,0.011294318328421538,0.9875057961355691
T-3 Return,0.03334271510364627,0.3382989450029871,,-0.07385842918749508,0.034159220636061145,**,0.06314360080108483,0.06991697968130693,*,0.015402186110803621,0.6581208040197648,,0.010701951614317196,0.98809744395803
