Variable,Coefficient,Std Error,T-Stat,P-Value,Significance
const,5.204170427930421e-18,0.03472391343317806,1.4987280848816806e-16,0.9999999999999999,
Kurtosis,0.05505813461936346,0.03483212582775328,1.58067109919242,0.11433888626925048,
Median,-0.09916971867382388,0.041968277000482626,-2.3629685505717437,0.018361713297159018,**
Fear and Greed Index,0.05207111953857228,0.041977757327547924,1.240445484790122,0.21516547018751303,
