Variable,Coefficient,Std Error,T-Stat,P-Value,Significance
const,-2.949029909160572e-17,0.03475335610656657,-8.485597477601191e-16,0.9999999999999993,
Kurtosis,0.036209030887249236,0.0348626345385288,1.0386200402391406,0.29928763729310054,
Median,-0.10096183587938781,0.04195894696616721,-2.406205188152039,0.016339518700591645,**
Fear and Greed Index,0.051971391550301685,0.042019442609105326,1.2368415267612294,0.216500027991407,
