,15800,16400,16500,16700,16800,16900,17000,17200,17300,17400,17500,17600,17700,17800,17900,18000,18100,18200,18300,18400,18500,18600,18700,18800,18900,19000,19100,19200,19300,19400,19500,19600,19700,19800,19850,19900,19950,20000,20050,20100,20150,20200,20250,20300,20350,20400,20450,20500,20550,20600,20650,20700,20750,20800,20900,21000,21900,22000
2024/5/22,1.8,2.9,3.1,3.7,3.7,3.8,4.1,4.6,5.1,5.1,5.1,5.7,6.6,6.7,6.8,7.1,8,8.6,9.2,10,12,12,14,16,17,20,23.5,29.5,34,41,49.5,61,77,93,103,115,129,141,156,173,191,209,231,251,277,305,328,362,391,426,460,497,535,570,655,745,1610,1710
