變數組合,Kurtosis_係數,Kurtosis_p值,Kurtosis_顯著性,變數數量,R平方,MSE
Kurtosis + Mean + T-4 Return,0.037874775112073836,0.2766899753949866,,3,0.010096720274785698,0.9886990178277386
Kurtosis + T-4 Return,0.03792869150883738,0.27694118534893747,,2,0.005019685003257224,0.9937698766573306
Kurtosis + Mean,0.03655225664948691,0.2943472394877793,,2,0.0061795802238178155,0.9926113925015152
Kurtosis + Median + T-4 Return,0.03537028597995578,0.31007963642229336,,3,0.009798429618653293,0.9889969455998606
Kurtosis + Median,0.03410848338233771,0.32819740283401255,,2,0.005917234956466011,0.9928734186140408
