變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + T-4 Return,0.0037754519826741963,0.9138335568070375,,2,0.00359599630200913,0.9951918333771907
Skewness + Mean,-0.0037382433729233016,0.9150533063542076,,2,0.004857348545268425,0.9939320156257111
Skewness + Mean + T-4 Return,-0.0034083816979255835,0.9224240229261763,,3,0.008674363962263287,0.9901196437797832
Skewness + Median,-0.002135944601309138,0.9513075001752476,,2,0.004760015289868358,0.9940292304708247
Skewness + Median + T-4 Return,-0.0017578733692193633,0.9598669727065661,,3,0.008552713036301007,0.9902411467119185
