變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Mean,-0.01083486248018265,0.7566589494478602,,2,0.00497203419612291,0.9938218712998723
Skewness + Mean + T-4 Return,-0.010531969185152031,0.7629577685867281,,3,0.00877545528255086,0.990023060420822
Skewness + Median,-0.009312286340408248,0.7896392155438957,,2,0.004833674489878481,0.993960063297382
Skewness + Median + T-4 Return,-0.008964386101083207,0.7970699669028918,,3,0.008611479080936624,0.990186837863404
Skewness + T-4 Return,-0.003587403316518094,0.9179604695710315,,2,0.0035862888870595855,0.9952059369176519
