變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Mean,-0.037991622125749205,0.2776471954879764,,2,0.006203145896206741,0.9925907899604635
Skewness + Median,-0.03586816082163658,0.3042618012259366,,2,0.00597131416179042,0.9928223403456873
Skewness + Mean + T-4 Return,-0.0351243622500831,0.3154636128209631,,3,0.009813252143827,0.9889850649097452
Skewness + Median + T-4 Return,-0.03296486758762851,0.3450342872544454,,3,0.009569020303759945,0.9892290003519484
Skewness + T-4 Return,-0.027672378155036557,0.42763428581821206,,2,0.004352809039236072,0.994438881262996
