Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,T-4 Return_Coef,T-4 Return_p,T-4 Return_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,0.019353864672314817,0.5845105040931438,,0.05820745736497309,0.09835227279077925,*,0.06393276558638522,0.0659276143140816,*,-0.07523060993131873,0.031974980855751275,**,0.013523670751689254,0.9852791492370874
Std,0.030237840123912483,0.391771534266814,,0.06265942834157785,0.07545255500558365,*,0.061118725223620565,0.07970232647555502,*,-0.020749627954434257,0.552579984505133,,0.008391633652944597,0.9904049581354691
Median,0.021845572700252433,0.5361236231542026,,0.057555142961596195,0.10264441347047223,,0.06361438380206257,0.06737783912649246,*,-0.06944368076234507,0.04734467672393612,**,0.01271977159101445,0.9860820727919848
Fear and Greed Index,0.02896263591521169,0.4109897947096379,,0.06201995042846084,0.07904874572416988,*,0.06381226762631806,0.06981266336590199,*,-0.012716576377158853,0.7181640634599351,,0.008122091790483621,0.9906741728840196
VIX,0.028626243328288045,0.41878145969033975,,0.06268246078311852,0.07638511151497406,*,0.062130249821594395,0.07545089334232,*,0.0012223055022252275,0.9722775660103462,,0.007965692513127731,0.9908303823564272
T-1 Return,0.024710292007432393,0.48698993453337025,,0.06028460809207717,0.08828459296673398,*,0.062199999694736545,0.07418873139624979,*,-0.029002920804296402,0.41021722068577116,,0.0087858429078157,0.9900112272898879
T-2 Return,0.029366067196776292,0.4043975442860246,,0.06273465513973417,0.07504399577150149,*,0.06125416389143938,0.07880178032738416,*,0.028290052953521737,0.4166451366407078,,0.008763545065008649,0.9900334980722063
T-3 Return,0.028043060045718004,0.4263860175233062,,0.06360966023289295,0.07155212034088065,*,0.06262621376001788,0.07251573798728404,*,0.015509861765044035,0.6570725782603071,,0.008203087460045722,0.9905932755101728
