Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,Std_Coef,Std_p,Std_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,0.01851577536143017,0.6045469180094958,,0.057406972330554404,0.10381010423019645,,0.005091567579850104,0.8926152560457502,,-0.07554204258893406,0.046740729832563485,**,0.009461696327029645,0.9893361940811344
Median,0.02036230619529679,0.5682694629064517,,0.05655895686433321,0.10960645324048929,,0.010122638197932694,0.7971987503094468,,-0.07269759253208943,0.06632907268802665,*,0.008755795764389562,0.9900412379683344
Fear and Greed Index,0.030021053193516604,0.39605652260661306,,0.061964471891383405,0.07984746891951079,*,-0.023817924959600327,0.5067604910677584,,0.0015360824883607314,0.9658268709673931,,0.004666425710208699,0.9941256451947793
VIX,0.030568832988163874,0.39015359831697993,,0.06229672172552443,0.07869440827846266,*,-0.023828905947254023,0.4966444518722132,,-0.005137992972441522,0.8839995407612856,,0.0046900794626448805,0.9941020201483535
T-1 Return,0.025986286306922565,0.4664930893404916,,0.05932835639229809,0.0939674261222229,*,-0.024410707581217467,0.4851921558961574,,-0.0294400657345682,0.4042106566335145,,0.005509917054172031,0.9932831775053598
T-2 Return,0.0305809360285822,0.38719394874278656,,0.06183791894215054,0.07976613590315397,*,-0.022366637715822126,0.5225530301996427,,0.029143901647047884,0.4036542891139664,,0.005511920526284908,0.9932811764646454
T-3 Return,0.029439951389763633,0.4058651210172902,,0.06246258145343748,0.07729781771167649,*,-0.0224690921430409,0.5222227253708982,,0.011087890604909226,0.7521783700469415,,0.004785438001143949,0.9940067773362362
T-4 Return,0.030237840123912542,0.3917715342668132,,0.06265942834157792,0.07545255500558344,*,-0.02074962795443419,0.5525799845051346,,0.06111872522362058,0.07970232647555493,*,0.008391633652944597,0.9904049581354691
