Variable,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,Median_Coef,Median_p,Median_Sig,T-4 Return_Coef,T-4 Return_p,T-4 Return_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,0.060102797284828605,0.08651718514979005,*,0.26197261602274013,0.28398545760685673,,0.06448686728858878,0.06352002406367718,*,-0.33667947869775416,0.16825407491833938,,0.014546277592417334,0.9842577834240784
Std,0.05393977497455522,0.12144194568787475,,-0.07957736512800345,0.04204866444547689,**,0.06449381375100366,0.06422597833409023,*,0.0175626015380525,0.6529527353109182,,0.012501938121401435,0.9862996419005906
Skewness,0.057555142961596216,0.10264441347047218,,-0.0694436807623452,0.047344676723935906,**,0.06361438380206251,0.0673778391264928,*,0.02184557270025242,0.536123623154203,,0.01271977159101434,0.9860820727919848
Fear and Greed Index,0.055327573007830366,0.11220116354847894,,-0.09453389910591274,0.024718374755949832,**,0.05829777666343083,0.09741259783073859,*,0.041325844603111124,0.33035500057543765,,0.013400722568057133,0.9854019482117586
VIX,0.05523684294206045,0.11311087287173972,,-0.0801162633827908,0.03148884225913249,**,0.06189240340235835,0.0758639796076165,*,-0.024276265143760654,0.5153139550947893,,0.012768609844167389,0.9860332938085564
T-1 Return,0.05218405591324011,0.13464910698085805,,-0.07079387149206773,0.042220587795118183,**,0.06369921818230617,0.06695152845139615,*,-0.03057151278674092,0.3799032680518659,,0.0131879620673363,0.9856144505079881
T-2 Return,0.053952433322908014,0.1212234654637239,,-0.0720795298920173,0.03860278711038106,**,0.06272495356845663,0.07134106241412722,*,0.02891779571733416,0.4053205188975897,,0.01309327883915734,0.9857090188293366
T-3 Return,0.05519749656503031,0.11359690485748612,,-0.07191711941019761,0.03909716885951704,**,0.06421919914453755,0.06503543840450246,*,0.018123651393785082,0.6028177027714072,,0.012584661669402086,0.986217018745245
