Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,0.010042963704749618,0.7744005794900416,,-0.0770756267410923,0.02805327776752025,**,0.006220847461918977,0.9925731098772337
Std,0.020704569525147865,0.5540480710197735,,-0.023802330429447256,0.49637081772117253,,0.0009234573253968925,0.997864071142231
Kurtosis,0.028330277924932902,0.42156936944273704,,0.06199799857087228,0.07883059151507543,*,0.00411607211780507,0.9946753308823382
Median,0.012604222639940134,0.7183843277259412,,-0.07221319738572912,0.03906598384154424,**,0.005534116664327904,0.9932590072636627
Fear and Greed Index,0.019159868230109896,0.5832021583262935,,-0.007511587994103494,0.8296591932479851,,0.00041629898180972624,0.9983706140023916
VIX,0.018826653298448612,0.5911442826172404,,0.00162185867839869,0.9630868167213772,,0.00036252008220427623,0.9984243276363421
T-1 Return,0.01470887239588407,0.6757720574785617,,-0.033746022206108076,0.3373908172696307,,0.0014805362271753664,0.9973076683070808
T-2 Return,0.019637999005912544,0.5736518804113693,,0.030072243400215103,0.38894140825124623,,0.0012638059301823823,0.9975241355818688
T-3 Return,0.018439637954326932,0.5978446433459148,,0.009880635700803247,0.7774280234159422,,0.0004572548693110301,0.9983297078186372
T-4 Return,0.0192687589864455,0.5802483089331539,,0.06126283435826365,0.07895504087148926,*,0.004112956979410054,0.9946784422402253
