Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,0.019126073261838565,0.5894789676142238,,0.057498643439496726,0.10298986659789795,,-0.0735936696091183,0.036098421131967144,**,0.009439641819675937,0.989358221823309
Std,0.030020573323604884,0.39577617001448884,,0.061871449080605406,0.07954730370649507,*,-0.023474650769153386,0.5017815763098143,,0.004664193652445081,0.9941278745437347
Median,0.021560821859137783,0.5420244710327917,,0.05686078312115961,0.10733329919337302,,-0.06798135848347313,0.052468246185963165,*,0.00867582003779177,0.9901211166370113
Fear and Greed Index,0.028389944076973227,0.4209293007056517,,0.06176444736495376,0.08070878491600124,*,-0.0037813975284257863,0.9138077100730619,,0.004130308771683411,0.994661111505952
VIX,0.028684279640350335,0.41845309748351933,,0.06228728193016305,0.07864132246754525,*,-0.0034793939784199517,0.9210799929556324,,0.004128000216024108,0.994663417259966
T-1 Return,0.024338705423476572,0.4941318198776897,,0.05952808939472131,0.09275491783403227,*,-0.02864970697322675,0.4165547089450615,,0.004917821221172791,0.9938745547754552
T-2 Return,0.02898901078800656,0.4110441852202472,,0.0619573482099184,0.07907461032830061,*,0.029990136205253606,0.38963506287067384,,0.005015036721461641,0.9937774572551425
T-3 Return,0.027728634664099153,0.43220850175102,,0.06269138288031367,0.07610057178082474,*,0.013126205099214796,0.7072926488191995,,0.004287400673088193,0.9945042102500588
T-4 Return,0.028749986885709112,0.4141188779230328,,0.06278293226429969,0.07475963224865197,*,0.06203909624630067,0.0748770393012321,*,0.00796422876734082,0.9908318443258235
