Variable,Coefficient,Std Error,T-Stat,P-Value,Significance
const,5.204170427930421e-18,0.03476106323849308,1.4971263658493394e-16,0.9999999999999999,
Skewness,0.028749986885709112,0.03518616968723151,0.817082028003236,0.4141188779230328,
Kurtosis,0.06278293226429969,0.03518813515097011,1.7842074322761836,0.07475963224865197,*
T-4 Return,0.06203909624630067,0.034785306246360434,1.7834856995916712,0.0748770393012321,*
