,15800,15900,16000,16100,16200,16300,16400,16500,16600,16700,16800,16900,17000,17100,17200,17300,17400,17500,17600,17700,17800,17900,18000,18100,18200,18300,18400,18500,18600,18700,18800,18900,19000,19100,19200,19300,19400,19500,19600,19700,19800,19850,19900,19950,20000,20050,20100,20150,20200,20250,20300,20350,20400,20450,20500,20550,20600,20650,20700,20750,20800,20850,20900,20950,21000,21100,21200,21300,21400,21500,21600,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23800,23900,24000
2024/5/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,1510,0,0,1210,0,0,930,840,755,675,590,550,505,471,435,399,367,334,304,275,249,224,199,175,155,135,118,102,89,76,67,55,48.5,41,36,24.5,18,14,10.5,8.1,7.3,5.6,4.7,4.6,4,3.5,3,2.6,2.2,2,1.8,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0
