變數組合,Kurtosis_係數,Kurtosis_p值,Kurtosis_顯著性,變數數量,R平方,MSE
Kurtosis + T-4 Return,0.005585003533721816,0.8722860993141967,,2,0.0037650521580997465,0.9950332169036108
Kurtosis + Mean,-0.003019540299182798,0.9310103935544162,,2,0.006021516282376127,0.9927794746902201
Kurtosis + Median + T-4 Return,0.002725925093720044,0.9373670314417409,,3,0.00939070137282183,0.9894143537554929
Kurtosis + Mean + T-4 Return,-0.0024166127388638315,0.9446858089469047,,3,0.010019427825912475,0.9887863857179063
Kurtosis + Median,0.002016277424503845,0.9537123053236075,,2,0.005423697041024744,0.9933765727985907
